date,r_cs,bin_label,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2023-01-01,0.9561267077687394,clear,8.545,8.9371
2023-01-02,0.9407693079349511,clear,8.4403,8.9717
2023-01-03,0.856932186347894,mostly_clear,7.6704,8.951
2023-01-04,0.669546872545279,partly_cloudy,5.9666,8.9114
2023-01-05,0.85079905685093,mostly_clear,7.794,9.1608
2023-01-06,0.8972016176120757,mostly_clear,8.2975,9.2482
2023-01-07,0.9668343440654049,clear,8.9758,9.2837
2023-01-08,0.8837643678160919,mostly_clear,7.9963,9.048
2023-01-09,0.9197536228735308,clear,8.4667,9.2054
2023-01-10,0.9307090593482895,clear,8.4715,9.1022
2023-01-11,0.9205729166666665,clear,8.3426,9.0624
2023-01-12,0.9641025076506463,clear,8.7581,9.0842
2023-01-13,0.9958010090598383,clear,9.1778,9.2165
2023-01-14,0.9981926267883195,clear,9.168,9.1846
2023-01-15,0.993210941081447,clear,9.0996,9.1618
2023-01-16,0.98816931618871,clear,8.8454,8.9513
2023-01-17,0.9630506496712372,clear,8.5829,8.9122
2023-01-18,0.9193019835801712,clear,7.939,8.6359
2023-01-19,0.6591886510115351,partly_cloudy,5.5946,8.4871
2023-01-20,0.802878944707893,mostly_clear,6.6708,8.3086
2023-01-21,0.853065138635664,mostly_clear,7.2055,8.4466
2023-01-22,0.8067840224574536,mostly_clear,6.8976,8.5495
2023-01-23,0.9512576820269127,clear,8.3275,8.7542
2023-01-24,0.6831335626489475,partly_cloudy,5.819,8.5181
2023-01-25,0.8328026797022027,mostly_clear,7.0361,8.4487
2023-01-26,0.8772866387870009,mostly_clear,7.5101,8.5606
2023-01-27,0.9249019562874115,clear,8.0657,8.7206
2023-01-28,0.7865766509022879,mostly_clear,6.7692,8.6059
2023-01-29,0.9351359338061466,clear,8.2277,8.7984
2023-01-30,0.8073165613560587,mostly_clear,6.925,8.5778
2023-01-31,0.9454684377571413,clear,8.0431,8.507
2023-02-01,0.9186722671377926,clear,7.8518,8.5469
2023-02-02,0.8563138402019297,mostly_clear,7.26,8.4782
2023-02-03,0.8724447789983769,mostly_clear,7.4177,8.5022
2023-02-04,0.8856897343236849,mostly_clear,7.5242,8.4953
2023-02-05,0.7311048767384947,mostly_clear,6.1241,8.3765
2023-02-06,0.8835053768591478,mostly_clear,7.3778,8.3506
2023-02-07,0.5731610961309338,partly_cloudy,4.5701,7.9735
2023-02-08,0.35320532672654076,cloudy,2.7372,7.7496
2023-02-09,0.7198951597099745,mostly_clear,5.8778,8.1648
2023-02-10,0.8430481051549202,mostly_clear,6.805,8.0719
2023-02-11,0.5550227252807793,partly_cloudy,4.4328,7.9867
2023-02-12,0.8313391427628604,mostly_clear,6.8021,8.1821
2023-02-13,0.9519014015485642,clear,7.7698,8.1624
2023-02-14,0.8813409346597733,mostly_clear,6.9722,7.9109
2023-02-15,0.6753176394711383,partly_cloudy,5.2354,7.7525
2023-02-16,0.7783136238873355,mostly_clear,6.0682,7.7966
2023-02-17,0.7718738025290587,mostly_clear,6.043,7.829
2023-02-18,0.8923667356144243,mostly_clear,7.1616,8.0254
2023-02-19,0.9484494513819309,clear,7.7623,8.1842
2023-02-20,0.9574478521588776,clear,7.8077,8.1547
2023-02-21,0.9996775503379749,clear,8.3707,8.3734
2023-02-22,0.9921700358873355,clear,8.2111,8.2759
2023-02-23,0.9723378273980113,clear,7.8034,8.0254
2023-02-24,0.968595082916027,clear,7.6982,7.9478
2023-02-25,0.9319757856450658,clear,7.4052,7.9457
2023-02-26,0.9665605295946235,clear,7.68,7.9457
2023-02-27,0.8310609784492795,mostly_clear,6.4246,7.7306
2023-02-28,0.912025554790874,clear,7.0236,7.7011
2023-03-01,0.9580873364716898,clear,7.3675,7.6898
2023-03-02,0.6987378271040748,mostly_clear,5.1374,7.3524
2023-03-03,0.6245543240927559,partly_cloudy,4.5194,7.2362
2023-03-04,0.976895122899709,clear,7.285,7.4573
2023-03-05,0.8930714081652088,mostly_clear,6.5647,7.3507
2023-03-06,0.9731276050431047,clear,7.5178,7.7254
2023-03-07,0.9649692483385848,clear,7.0133,7.2679
2023-03-08,0.933453213093033,clear,6.9041,7.3963
2023-03-09,0.9846895378508648,clear,7.6406,7.7594
2023-03-10,0.998881533599511,clear,7.6805,7.6891
2023-03-11,0.9257657607869686,clear,6.7006,7.2379
2023-03-12,0.9859702993885169,clear,7.4494,7.5554
2023-03-13,0.9616397508604232,clear,6.9014,7.1767
2023-03-14,0.8742386141380273,mostly_clear,6.2578,7.158
2023-03-15,0.8997402746487968,mostly_clear,6.2702,6.9689
2023-03-16,0.9603366075018669,clear,6.6874,6.9636
2023-03-17,0.9173453474267891,clear,6.3528,6.9252
2023-03-18,0.88559654061584,mostly_clear,6.103,6.8914
2023-03-19,0.8940482825379131,mostly_clear,6.0958,6.8182
2023-03-20,0.3007916373750649,cloudy,1.9682,6.5434
2023-03-21,0.7940499671268901,mostly_clear,5.3141,6.6924
2023-03-22,0.5828466821991588,partly_cloudy,3.8525,6.6098
2023-03-23,0.5027181510360038,partly_cloudy,3.2366,6.4382
2023-03-24,0.745099282126048,mostly_clear,4.7018,6.3103
2023-03-25,0.6984968512020594,mostly_clear,4.5586,6.5263
2023-03-26,0.9731219439917025,clear,6.5676,6.749
2023-03-27,0.9987949835611956,clear,6.7138,6.7219
2023-03-28,0.9165214709737105,clear,5.9441,6.4855
2023-03-29,0.9301989483718214,clear,6.0502,6.5042
2023-03-30,0.9424335714499208,clear,6.3062,6.6914
2023-03-31,0.9765514891508046,clear,6.3053,6.4567
2023-04-01,0.899193294258524,mostly_clear,5.707,6.3468
2023-04-02,0.9056232351754739,clear,5.6126,6.1975
2023-04-03,0.9513755496642485,clear,5.993,6.2993
2023-04-04,0.9879450605857923,clear,6.3514,6.4289
2023-04-05,0.9915889793242401,clear,6.2011,6.2537
2023-04-06,0.9923649177760375,clear,6.0828,6.1296
2023-04-07,0.8714165191642819,mostly_clear,5.2678,6.0451
2023-04-08,0.843387729241939,mostly_clear,4.9253,5.8399
2023-04-09,0.6558283721421778,partly_cloudy,3.7234,5.6774
2023-04-10,0.9992783141418353,clear,6.2309,6.2354
2023-04-11,0.9890305272014351,clear,6.2302,6.2993
2023-04-12,0.968142880232746,clear,5.9899,6.187
2023-04-13,0.9864180012162984,clear,5.8392,5.9196
2023-04-14,0.9685373867445487,clear,5.8366,6.0262
2023-04-15,0.9999670526992077,clear,6.0701,6.0703
2023-04-16,0.9995336223723076,clear,5.7866,5.7893
2023-04-17,0.9995470225443395,clear,5.7372,5.7398
2023-04-18,0.9995783111361001,clear,5.689,5.6914
2023-04-19,0.9998756064187088,clear,5.6266,5.6273
2023-04-20,0.6139352808824335,partly_cloudy,3.3562,5.4667
2023-04-21,0.9983776941864404,clear,5.6002,5.6093
2023-04-22,0.8800300933996366,mostly_clear,4.7959,5.4497
2023-04-23,0.9976540449397016,clear,5.4434,5.4562
2023-04-24,0.6978042565947242,mostly_clear,3.7246,5.3376
2023-04-25,0.9610687759236036,clear,4.9817,5.1835
2023-04-26,0.9987253876153334,clear,5.2498,5.2565
2023-04-27,0.878347827858001,mostly_clear,4.3126,4.9099
2023-04-28,0.8976875558806795,mostly_clear,4.4177,4.9212
2023-04-29,0.9901269111621865,clear,4.9541,5.0035
2023-04-30,0.9995529560779347,clear,5.3662,5.3686
2023-05-01,0.9603024197570269,clear,4.8139,5.0129
2023-05-02,0.9383878393231166,clear,4.525,4.8221
2023-05-03,0.9514756073077696,clear,4.7393,4.981
2023-05-04,0.8758332983941973,mostly_clear,4.1779,4.7702
2023-05-05,0.7112676056338029,mostly_clear,3.1512,4.4304
2023-05-06,0.6265439132218221,partly_cloudy,2.7494,4.3882
2023-05-07,0.36332719945959796,cloudy,1.5598,4.2931
2023-05-08,0.8530803629574958,mostly_clear,3.9298,4.6066
2023-05-09,0.9699176493003365,clear,4.5816,4.7237
2023-05-10,0.9998953887354589,clear,4.7791,4.7796
2023-05-11,0.9988926728370557,clear,4.781,4.7863
2023-05-12,0.7686124274768591,mostly_clear,3.4709,4.5158
2023-05-13,0.533961824953445,partly_cloudy,2.2939,4.296
2023-05-14,0.8091281758993357,mostly_clear,3.691,4.5617
2023-05-15,0.9254036693211316,clear,4.2067,4.5458
2023-05-16,0.9151255466998202,clear,4.122,4.5043
2023-05-17,0.9944378671789489,clear,4.4518,4.4767
2023-05-18,0.847308072336221,mostly_clear,3.6874,4.3519
2023-05-19,0.993714260770876,clear,4.553,4.5818
2023-05-20,0.9867046325703648,clear,4.5048,4.5655
2023-05-21,0.8906409187737333,mostly_clear,3.8465,4.3188
2023-05-22,0.9506868858871989,clear,4.1314,4.3457
2023-05-23,0.7637943179150035,mostly_clear,3.253,4.259
2023-05-24,0.9899735901091454,clear,4.2358,4.2787
2023-05-25,0.7177576550124601,mostly_clear,2.909,4.0529
2023-05-26,0.9384909050078598,clear,4.1791,4.453
2023-05-27,0.9084949601991277,clear,3.6864,4.0577
2023-05-28,0.6721611721611721,partly_cloudy,2.569,3.822
2023-05-29,0.5093486692523739,partly_cloudy,1.9042,3.7385
2023-05-30,0.4304315277257901,partly_cloudy,1.6099,3.7402
2023-05-31,0.6711490849070344,partly_cloudy,2.765,4.1198
2023-06-01,0.9938476887263052,clear,4.1839,4.2098
2023-06-02,0.9409711430415761,clear,3.9358,4.1827
2023-06-03,0.9769278684440016,clear,3.9209,4.0135
2023-06-04,0.8682517070295231,mostly_clear,3.535,4.0714
2023-06-05,0.999720214502215,clear,4.2878,4.289
2023-06-06,0.9962385814078454,clear,4.0788,4.0942
2023-06-07,0.9988880556489358,clear,3.8628,3.8671
2023-06-08,0.9972214025769648,clear,4.0555,4.0668
2023-06-09,0.9989045231023905,clear,4.1033,4.1078
2023-06-10,0.9917854436104931,clear,4.0567,4.0903
2023-06-11,0.999243090145522,clear,4.0925,4.0956
2023-06-12,0.9284146249148394,clear,3.6794,3.9631
2023-06-13,0.9925888958203367,clear,3.9778,4.0075
2023-06-14,0.9992785710731876,clear,4.0169,4.0198
2023-06-15,0.9567413151048308,clear,3.751,3.9206
2023-06-16,0.9908531266355957,clear,3.9756,4.0123
2023-06-17,0.9987647611047977,clear,4.0428,4.0478
2023-06-18,0.9996396025330794,clear,3.8832,3.8846
2023-06-19,0.9951443904932278,clear,3.894,3.913
2023-06-20,0.9927559364486898,clear,4.0428,4.0723
2023-06-21,0.9640482765674542,clear,3.7702,3.9108
2023-06-22,0.9995149720470733,clear,3.9154,3.9173
2023-06-23,0.9991160795528403,clear,3.8431,3.8465
2023-06-24,0.9986734640794882,clear,3.8395,3.8446
2023-06-25,0.9992549392390104,clear,3.8894,3.8923
2023-06-26,0.9922042229327978,clear,3.7546,3.7841
2023-06-27,0.6774879814333867,partly_cloudy,2.4521,3.6194
2023-06-28,0.9526294873493177,clear,3.5957,3.7745
2023-06-29,0.8718394477821807,mostly_clear,3.4102,3.9115
2023-06-30,0.9946063635014101,clear,4.02,4.0418
2023-07-01,0.9996329826278444,clear,4.0855,4.087
2023-07-02,0.9983597870246537,clear,3.9564,3.9629
2023-07-03,0.9992186909292537,clear,3.9646,3.9677
2023-07-04,0.9986090035407182,clear,3.9485,3.954
2023-07-05,0.9944381272556484,clear,4.0229,4.0454
2023-07-06,0.960170137437612,clear,3.9053,4.0673
2023-07-07,0.9765654624971559,clear,3.863,3.9557
2023-07-08,0.995425066613041,clear,3.96,3.9782
2023-07-09,0.8608143092492352,mostly_clear,3.6576,4.249
2023-07-10,0.9983202687569989,clear,4.2792,4.2864
2023-07-11,0.9988878333603651,clear,4.3111,4.3159
2023-07-12,0.9985890984338992,clear,4.2466,4.2526
2023-07-13,1.0,clear,4.2115,4.2115
2023-07-14,0.985970738280874,clear,4.0973,4.1556
2023-07-15,0.6167972453715256,partly_cloudy,2.472,4.0078
2023-07-16,0.9992998889479022,clear,4.1393,4.1422
2023-07-17,0.9994789322848819,clear,4.2199,4.2221
2023-07-18,0.9984739276406921,clear,4.2528,4.2593
2023-07-19,0.9940108464984675,clear,4.2156,4.241
2023-07-20,0.9661118142956082,clear,4.0454,4.1873
2023-07-21,0.6736624674861019,partly_cloudy,2.6417,3.9214
2023-07-22,0.8610943787196107,mostly_clear,3.5738,4.1503
2023-07-23,0.773611885315431,mostly_clear,3.192,4.1261
2023-07-24,0.9254484049107755,clear,4.0555,4.3822
2023-07-25,0.7768368973145262,mostly_clear,3.2659,4.2041
2023-07-26,0.7762359063313096,mostly_clear,3.222,4.1508
2023-07-27,0.9994052792899949,clear,4.3692,4.3718
2023-07-28,0.8539341583002568,mostly_clear,3.6574,4.283
2023-07-29,0.326053412462908,cloudy,1.3735,4.2125
2023-07-30,0.8779702815105852,mostly_clear,4.201,4.7849
2023-07-31,0.9826593280489619,clear,4.6241,4.7057
2023-08-01,0.9989737695496901,clear,4.8672,4.8722
2023-08-02,0.998971502035569,clear,4.6622,4.667
2023-08-03,0.9993875654671398,clear,4.7323,4.7352
2023-08-04,0.7741277896927357,mostly_clear,3.6456,4.7093
2023-08-05,0.9952513788036881,clear,4.6738,4.6961
2023-08-06,0.9909661487807387,clear,4.8156,4.8595
2023-08-07,0.9993339119552711,clear,4.951,4.9543
2023-08-08,0.9994510075028975,clear,4.9154,4.9181
2023-08-09,0.9930979335886537,clear,4.7194,4.7522
2023-08-10,0.9990848264220782,clear,4.9126,4.9171
2023-08-11,0.8513108535741978,mostly_clear,4.0622,4.7717
2023-08-12,0.7967741261517248,mostly_clear,3.8136,4.7863
2023-08-13,0.9712627115155009,clear,4.7182,4.8578
2023-08-14,0.9917284541178346,clear,4.9757,5.0172
2023-08-15,0.9983996252781138,clear,5.1156,5.1238
2023-08-16,0.5476080279378971,partly_cloudy,2.603,4.7534
2023-08-17,0.8237793736455191,mostly_clear,3.8772,4.7066
2023-08-18,0.8699409422819298,mostly_clear,4.6106,5.2999
2023-08-19,0.8346392258750843,mostly_clear,4.0798,4.8881
2023-08-20,0.9998243549435302,clear,5.6923,5.6933
2023-08-21,0.9865286855482933,clear,5.4338,5.508
2023-08-22,0.9994767515291485,clear,5.5394,5.5423
2023-08-23,0.997204628286331,clear,5.6364,5.6522
2023-08-24,0.9961027739079832,clear,5.6486,5.6707
2023-08-25,0.9852623014478818,clear,5.3282,5.4079
2023-08-26,0.9820474352274835,clear,5.8258,5.9323
2023-08-27,0.9998009157873781,clear,6.0264,6.0276
2023-08-28,0.9920316000068399,clear,5.8015,5.8481
2023-08-29,0.9996441039894248,clear,5.8985,5.9006
2023-08-30,0.99970852978997,clear,5.8308,5.8325
2023-08-31,0.9771721325758895,clear,5.6076,5.7386
2023-09-01,0.9887397594561617,clear,5.6724,5.737
2023-09-02,0.9804150729565094,clear,5.5366,5.6472
2023-09-03,0.9896546828973986,clear,5.5771,5.6354
2023-09-04,0.9868306448803261,clear,5.665,5.7406
2023-09-05,0.8638429052549048,mostly_clear,4.8478,5.6119
2023-09-06,0.9957816415796273,clear,6.3972,6.4243
2023-09-07,0.9863975968574289,clear,6.4032,6.4915
2023-09-08,0.9710178491670941,clear,5.8699,6.0451
2023-09-09,0.997476266880599,clear,5.9681,5.9832
2023-09-10,0.9926712765773998,clear,5.7566,5.7991
2023-09-11,0.8881642137877614,mostly_clear,5.7331,6.455
2023-09-12,0.996905125053679,clear,6.7322,6.7531
2023-09-13,0.9981301782778297,clear,6.1922,6.2038
2023-09-14,0.9846984556774712,clear,6.2551,6.3523
2023-09-15,0.9860251635041206,clear,6.7241,6.8194
2023-09-16,0.9449141190128895,clear,6.3485,6.7186
2023-09-17,0.9654183707628043,clear,6.6331,6.8707
2023-09-18,0.9804757662933162,clear,6.7142,6.8479
2023-09-19,0.9864355572167197,clear,6.3341,6.4212
2023-09-20,0.9711152676442452,clear,6.8014,7.0037
2023-09-21,0.9831334173594097,clear,6.9422,7.0613
2023-09-22,0.9826400262037341,clear,6.9,7.0219
2023-09-23,0.7084972325686636,mostly_clear,4.0706,5.7454
2023-09-24,0.2932667907291491,cloudy,1.7335,5.911
2023-09-25,0.9196982253593576,clear,6.4366,6.9986
2023-09-26,0.6498240535785231,partly_cloudy,4.5797,7.0476
2023-09-27,0.9725383819458039,clear,6.9554,7.1518
2023-09-28,0.9884476433192372,clear,7.0589,7.1414
2023-09-29,0.9933268206772246,clear,7.2194,7.2679
2023-09-30,0.9828443291727454,clear,7.2758,7.4028
2023-10-01,0.9993860678326831,clear,7.3253,7.3298
2023-10-02,0.999695105050169,clear,7.2134,7.2156
2023-10-03,0.9993008948545862,clear,7.147,7.152
2023-10-04,0.9023249299719888,mostly_clear,6.4426,7.14
2023-10-05,0.9987207334461575,clear,7.4947,7.5043
2023-10-06,0.928533425553989,clear,6.9809,7.5182
2023-10-07,0.9064143853998926,clear,6.7546,7.452
2023-10-08,0.9887054964820398,clear,7.4758,7.5612
2023-10-09,0.81340812326823,mostly_clear,6.018,7.3985
2023-10-10,0.7797446610280524,mostly_clear,5.3563,6.8693
2023-10-11,0.6060650931382711,partly_cloudy,4.093,6.7534
2023-10-12,0.5755198752005181,partly_cloudy,3.9106,6.7949
2023-10-13,0.9984853375710774,clear,8.0424,8.0546
2023-10-14,0.9987054693918197,clear,8.0234,8.0338
2023-10-15,0.7883424685343078,mostly_clear,6.2134,7.8816
2023-10-16,0.9234850565528951,clear,7.3973,8.0102
2023-10-17,0.9468095725301325,clear,7.5883,8.0146
2023-10-18,0.9984215848274841,clear,8.0966,8.1094
2023-10-19,0.999729070712544,clear,8.118,8.1202
2023-10-20,0.9677761421193143,clear,7.7575,8.0158
2023-10-21,0.6767802319366587,partly_cloudy,5.4449,8.0453
2023-10-22,0.9927468781354643,clear,8.2123,8.2723
2023-10-23,0.9995042980981972,clear,8.267,8.2711
