time_utc,ghi,dni,dhi,temp_air,wind_speed
2023-01-01 00:00:00,0.0,0.0,0.0,17.85,3.49
2023-01-01 01:00:00,0.0,0.0,0.0,17.28,3.33
2023-01-01 02:00:00,0.0,0.0,0.0,16.6,3.07
2023-01-01 03:00:00,9.43,44.62,7.95,16.35,3.29
2023-01-01 04:00:00,150.12,401.55,58.35,18.16,4.35
2023-01-01 05:00:00,364.88,562.73,125.18,21.95,3.72
2023-01-01 06:00:00,588.28,683.93,151.14,24.4,3.03
2023-01-01 07:00:00,798.08,785.25,174.17,25.94,2.66
2023-01-01 08:00:00,966.4,867.47,143.53,27.42,2.49
2023-01-01 09:00:00,1025.43,763.33,270.03,28.7,2.45
2023-01-01 10:00:00,1052.45,796.11,276.59,29.72,2.5
2023-01-01 11:00:00,998.7,725.19,234.87,30.39,2.58
2023-01-01 12:00:00,881.75,463.09,387.07,30.57,2.6
2023-01-01 13:00:00,731.58,698.92,198.49,30.33,2.52
2023-01-01 14:00:00,549.17,668.78,166.59,29.76,2.46
2023-01-01 15:00:00,309.42,685.13,76.75,28.87,2.41
2023-01-01 16:00:00,115.45,374.6,42.96,27.43,2.38
2023-01-01 17:00:00,3.78,36.67,3.8,24.65,2.26
2023-01-01 18:00:00,0.0,0.0,0.0,23.58,2.83
2023-01-01 19:00:00,0.0,0.0,0.0,22.4,3.07
2023-01-01 20:00:00,0.0,0.0,0.0,21.47,3.15
2023-01-01 21:00:00,0.0,0.0,0.0,20.72,3.19
2023-01-01 22:00:00,0.0,0.0,0.0,20.03,3.21
2023-01-01 23:00:00,0.0,0.0,0.0,19.4,3.26
2023-01-02 00:00:00,0.0,0.0,0.0,18.77,3.31
2023-01-02 01:00:00,0.0,0.0,0.0,18.13,3.35
2023-01-02 02:00:00,0.0,0.0,0.0,17.47,3.37
2023-01-02 03:00:00,9.0,38.7,7.97,17.09,3.58
2023-01-02 04:00:00,156.43,497.49,47.47,18.95,4.57
2023-01-02 05:00:00,382.83,710.73,85.35,23.02,4.41
2023-01-02 06:00:00,612.42,830.56,101.9,26.38,4.37
2023-01-02 07:00:00,814.35,886.63,112.87,28.11,3.99
