time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo
2024-01-01 00:00:00,0.0,21.56,3.08,52.03,9149.0,-999.0
2024-01-01 01:00:00,0.0,21.14,3.97,54.02,9149.0,-999.0
2024-01-01 02:00:00,0.0,20.66,4.91,56.61,9152.0,-999.0
2024-01-01 03:00:00,0.0,20.08,5.64,60.14,9158.0,-999.0
2024-01-01 04:00:00,0.0,19.34,5.52,64.7,9164.0,-999.0
2024-01-01 05:00:00,127.78,20.17,6.35,62.85,9171.0,0.26
2024-01-01 06:00:00,342.98,23.04,6.72,53.18,9177.0,0.22
2024-01-01 07:00:00,574.47,26.58,5.55,40.76,9179.0,0.2
2024-01-01 08:00:00,784.8,29.15,4.48,33.38,9178.0,0.2
2024-01-01 09:00:00,952.25,30.96,4.02,29.43,9176.0,0.2
2024-01-01 10:00:00,1061.95,32.52,3.58,26.4,9172.0,0.19
2024-01-01 11:00:00,1109.5,33.78,3.17,24.05,9166.0,0.2
2024-01-01 12:00:00,1085.5,34.76,3.13,22.29,9161.0,0.2
2024-01-01 13:00:00,994.3,35.28,3.58,21.27,9156.0,0.2
2024-01-01 14:00:00,841.83,35.35,4.38,20.77,9152.0,0.2
2024-01-01 15:00:00,641.9,34.83,5.24,21.13,9149.0,0.2
2024-01-01 16:00:00,412.08,33.73,5.8,22.24,9148.0,0.22
2024-01-01 17:00:00,177.77,32.06,5.8,24.53,9152.0,0.26
2024-01-01 18:00:00,12.9,29.12,3.99,29.79,9156.0,0.3
2024-01-01 19:00:00,0.0,27.22,3.64,33.77,9161.0,-999.0
2024-01-01 20:00:00,0.0,25.97,3.32,36.63,9164.0,-999.0
2024-01-01 21:00:00,0.0,24.85,3.01,39.21,9167.0,-999.0
2024-01-01 22:00:00,0.0,23.91,2.88,41.33,9168.0,-999.0
2024-01-01 23:00:00,0.0,23.12,2.86,43.08,9166.0,-999.0
2024-01-02 00:00:00,0.0,22.38,2.86,44.61,9163.0,-999.0
2024-01-02 01:00:00,0.0,21.66,2.91,46.05,9162.0,-999.0
2024-01-02 02:00:00,0.0,21.0,2.99,47.19,9163.0,-999.0
2024-01-02 03:00:00,0.0,20.41,3.09,48.11,9166.0,-999.0
2024-01-02 04:00:00,0.0,19.96,3.2,48.74,9171.0,-999.0
2024-01-02 05:00:00,131.07,22.57,4.47,41.38,9175.0,0.26
2024-01-02 06:00:00,353.1,26.06,4.42,33.54,9177.0,0.22
2024-01-02 07:00:00,587.5,30.73,4.18,25.04,9178.0,0.2
2024-01-02 08:00:00,797.6,33.07,3.15,20.86,9176.0,0.2
2024-01-02 09:00:00,964.15,35.06,2.41,17.35,9172.0,0.19
2024-01-02 10:00:00,1073.55,36.7,2.13,15.23,9166.0,0.19
2024-01-02 11:00:00,1119.53,37.97,2.45,13.93,9159.0,0.2
2024-01-02 12:00:00,1094.75,38.83,3.04,13.23,9151.0,0.2
2024-01-02 13:00:00,1003.28,39.19,3.61,12.98,9143.0,0.2
2024-01-02 14:00:00,849.17,39.11,4.08,13.15,9136.0,0.21
2024-01-02 15:00:00,635.78,38.6,4.4,13.51,9131.0,0.21
2024-01-02 16:00:00,372.95,37.56,4.71,14.43,9129.0,0.21
2024-01-02 17:00:00,145.27,35.91,4.84,16.26,9130.0,0.25
2024-01-02 18:00:00,8.5,32.07,3.29,21.97,9133.0,0.25
2024-01-02 19:00:00,0.0,30.26,3.57,25.1,9136.0,-999.0
2024-01-02 20:00:00,0.0,29.14,3.4,27.4,9142.0,-999.0
2024-01-02 21:00:00,0.0,28.19,2.63,29.55,9149.0,-999.0
2024-01-02 22:00:00,0.0,28.22,1.32,29.85,9153.0,-999.0
2024-01-02 23:00:00,0.0,28.29,0.52,29.99,9150.0,-999.0
2024-01-03 00:00:00,0.0,27.44,1.41,31.11,9139.0,-999.0
2024-01-03 01:00:00,0.0,26.96,1.0,31.29,9135.0,-999.0
2024-01-03 02:00:00,0.0,26.41,0.76,32.3,9141.0,-999.0
2024-01-03 03:00:00,0.0,24.93,2.18,36.81,9147.0,-999.0
2024-01-03 04:00:00,0.0,24.05,2.82,41.45,9153.0,-999.0
2024-01-03 05:00:00,102.5,24.74,3.68,43.16,9158.0,0.25
2024-01-03 06:00:00,304.0,27.01,4.14,38.51,9160.0,0.22
2024-01-03 07:00:00,546.33,30.12,3.42,30.85,9158.0,0.21
2024-01-03 08:00:00,749.88,33.01,1.83,24.21,9153.0,0.2
2024-01-03 09:00:00,920.28,35.21,1.74,20.0,9147.0,0.2
2024-01-03 10:00:00,1034.28,36.78,2.02,17.68,9140.0,0.2
2024-01-03 11:00:00,1093.05,37.96,2.37,16.28,9133.0,0.2
2024-01-03 12:00:00,1057.7,38.7,2.84,15.48,9127.0,0.2
2024-01-03 13:00:00,843.62,39.07,3.27,15.06,9120.0,0.21
2024-01-03 14:00:00,641.08,39.01,3.65,15.02,9113.0,0.21
2024-01-03 15:00:00,464.35,38.23,3.98,15.61,9109.0,0.2
2024-01-03 16:00:00,281.48,37.11,4.32,16.78,9111.0,0.21
2024-01-03 17:00:00,107.05,35.48,4.34,18.93,9117.0,0.23
