time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo
2017-01-01 00:00,0.0,-3.77,3.71,58.36,7795.0,-999.0
2017-01-01 01:00,0.0,-4.07,3.89,55.8,7790.000000000001,-999.0
2017-01-01 02:00,0.0,-4.25,3.95,54.3,7786.0,-999.0
2017-01-01 03:00,0.0,-4.33,3.94,54.64,7781.0,-999.0
2017-01-01 04:00,0.0,-4.45,3.97,56.36,7777.0,-999.0
2017-01-01 05:00,0.0,-4.78,4.11,58.56,7776.000000000001,-999.0
2017-01-01 06:00,0.0,-5.12,4.41,59.67,7776.000000000001,-999.0
2017-01-01 07:00,13.6,-5.03,5.04,58.58,7775.0,0.25
2017-01-01 08:00,146.38,-2.42,6.54,48.21,7775.0,0.26
2017-01-01 09:00,330.48,0.73,6.72,39.14,7775.0,0.56
2017-01-01 10:00,454.77,3.69,7.54,31.36,7772.0,0.52
2017-01-01 11:00,522.12,5.24,7.57,28.24,7764.0,0.5
2017-01-01 12:00,523.62,5.78,7.27,28.66,7756.999999999999,0.49
2017-01-01 13:00,448.83,5.78,6.63,30.13,7754.000000000001,0.5
2017-01-01 14:00,314.9,5.14,4.87,33.34,7754.000000000001,0.4
2017-01-01 15:00,132.73,2.54,1.83,47.34,7756.999999999999,0.26
2017-01-01 16:00,23.88,0.37,0.63,52.78,7762.0,0.25
2017-01-01 17:00,0.0,-0.38,1.61,55.16,7769.0,-999.0
2017-01-01 18:00,0.0,-1.04,2.71,57.85,7773.999999999999,-999.0
2017-01-01 19:00,0.0,-1.2,3.27,57.51,7775.0,-999.0
2017-01-01 20:00,0.0,-1.86,3.58,59.79,7773.0,-999.0
2017-01-01 21:00,0.0,-2.1,3.59,62.2,7770.999999999999,-999.0
2017-01-01 22:00,0.0,-2.41,3.58,64.84,7772.0,-999.0
2017-01-01 23:00,0.0,-2.86,3.7,66.82,7772.0,-999.0
2017-01-02 00:00,0.0,-3.37,3.87,68.13,7770.999999999999,-999.0
2017-01-02 01:00,0.0,-3.96,3.99,67.95,7773.0,-999.0
2017-01-02 02:00,0.0,-4.62,3.99,67.1,7777.0,-999.0
