time_utc,dni,dhi,ghi,temp_air,wind_speed
2023-01-01 00:00:00,0.0,0.0,0.0,17.02,7.05
2023-01-01 01:00:00,0.0,0.0,0.0,16.76,6.58
2023-01-01 02:00:00,0.0,0.0,0.0,16.53,6.18
2023-01-01 03:00:00,0.0,0.0,0.0,16.28,6.21
2023-01-01 04:00:00,466.91,31.67,125.6,17.17,7.03
2023-01-01 05:00:00,794.09,50.29,337.88,19.46,7.47
2023-01-01 06:00:00,894.54,66.1,562.08,22.77,7.37
2023-01-01 07:00:00,969.23,68.32,767.1,26.15,6.73
2023-01-01 08:00:00,998.37,75.43,932.85,29.13,5.62
2023-01-01 09:00:00,1012.69,79.92,1046.65,30.72,4.59
2023-01-01 10:00:00,1010.13,78.69,1101.45,31.48,4.31
2023-01-01 11:00:00,1017.67,74.1,1090.38,31.78,4.71
2023-01-01 12:00:00,1022.57,71.67,1015.67,31.48,5.46
2023-01-01 13:00:00,1005.74,66.68,881.1,30.66,6.33
2023-01-01 14:00:00,956.36,66.7,698.95,29.53,7.35
2023-01-01 15:00:00,872.0,63.48,484.17,28.27,8.39
2023-01-01 16:00:00,728.29,44.02,256.9,26.33,9.43
2023-01-01 17:00:00,296.82,20.63,53.08,23.54,9.67
2023-01-01 18:00:00,0.0,0.0,0.0,21.23,9.55
2023-01-01 19:00:00,0.0,0.0,0.0,19.98,9.83
2023-01-01 20:00:00,0.0,0.0,0.0,19.32,9.34
2023-01-01 21:00:00,0.0,0.0,0.0,19.15,8.86
2023-01-01 22:00:00,0.0,0.0,0.0,19.04,8.44
2023-01-01 23:00:00,0.0,0.0,0.0,18.8,8.01
2023-01-02 00:00:00,0.0,0.0,0.0,18.58,7.73
2023-01-02 01:00:00,0.0,0.0,0.0,18.43,7.47
2023-01-02 02:00:00,0.0,0.0,0.0,18.27,7.21
2023-01-02 03:00:00,0.0,0.0,0.0,18.01,7.11
2023-01-02 04:00:00,495.47,28.06,125.0,18.71,7.2
2023-01-02 05:00:00,799.95,44.49,337.1,20.82,7.24
2023-01-02 06:00:00,921.0,57.53,559.92,23.8,6.45
2023-01-02 07:00:00,1002.47,50.1,762.95,27.15,4.79
2023-01-02 08:00:00,1010.15,64.95,928.72,30.43,2.51
2023-01-02 09:00:00,1004.15,82.29,1040.78,32.42,0.56
2023-01-02 10:00:00,1036.61,72.41,1094.32,33.55,1.17
2023-01-02 11:00:00,1003.42,80.22,1084.4,33.83,2.18
2023-01-02 12:00:00,1003.27,80.55,1010.12,33.62,2.58
2023-01-02 13:00:00,979.83,77.93,875.83,33.13,2.52
2023-01-02 14:00:00,925.68,78.73,693.83,32.29,2.19
2023-01-02 15:00:00,832.99,67.62,478.92,31.26,1.92
2023-01-02 16:00:00,676.4,55.62,252.25,29.7,2.35
2023-01-02 17:00:00,248.87,22.86,51.28,26.78,3.44
2023-01-02 18:00:00,0.0,0.0,0.0,24.52,4.22
2023-01-02 19:00:00,0.0,0.0,0.0,23.15,4.44
2023-01-02 20:00:00,0.0,0.0,0.0,22.18,4.07
2023-01-02 21:00:00,0.0,0.0,0.0,21.42,3.58
2023-01-02 22:00:00,0.0,0.0,0.0,20.67,3.03
2023-01-02 23:00:00,0.0,0.0,0.0,19.94,2.38
2023-01-03 00:00:00,0.0,0.0,0.0,19.19,1.82
2023-01-03 01:00:00,0.0,0.0,0.0,18.51,1.53
2023-01-03 02:00:00,0.0,0.0,0.0,17.97,1.53
2023-01-03 03:00:00,0.0,0.0,0.0,17.43,2.09
2023-01-03 04:00:00,228.87,49.73,89.55,18.34,3.23
2023-01-03 05:00:00,402.65,146.4,292.52,19.71,5.5
2023-01-03 06:00:00,534.99,211.37,499.67,21.52,6.89
2023-01-03 07:00:00,772.85,144.8,733.05,23.21,7.39
2023-01-03 08:00:00,961.98,95.43,920.28,24.64,7.62
2023-01-03 09:00:00,967.99,101.95,1031.3,25.58,7.7
2023-01-03 10:00:00,950.71,123.86,1084.22,26.26,7.72
2023-01-03 11:00:00,903.5,135.78,1069.28,26.36,7.68
2023-01-03 12:00:00,866.53,169.71,975.58,26.01,7.51
2023-01-03 13:00:00,892.07,121.14,832.83,25.3,7.13
2023-01-03 14:00:00,692.8,102.36,580.6,24.32,6.56
2023-01-03 15:00:00,633.27,91.53,374.48,22.96,5.99
2023-01-03 16:00:00,388.71,72.13,192.35,21.25,5.31
2023-01-03 17:00:00,153.91,23.77,38.72,19.5,4.48
2023-01-03 18:00:00,0.0,0.0,0.0,18.37,3.91
2023-01-03 19:00:00,0.0,0.0,0.0,17.86,3.76
2023-01-03 20:00:00,0.0,0.0,0.0,17.46,3.69
2023-01-03 21:00:00,0.0,0.0,0.0,17.2,3.76
2023-01-03 22:00:00,0.0,0.0,0.0,17.01,3.77
2023-01-03 23:00:00,0.0,0.0,0.0,16.82,3.44
2023-01-04 00:00:00,0.0,0.0,0.0,16.69,3.17
2023-01-04 01:00:00,0.0,0.0,0.0,16.59,2.99
2023-01-04 02:00:00,0.0,0.0,0.0,16.47,2.8
2023-01-04 03:00:00,0.0,0.0,0.0,16.37,2.61
2023-01-04 04:00:00,105.57,51.74,74.62,16.73,3.0
2023-01-04 05:00:00,271.28,121.97,211.15,17.59,3.64
2023-01-04 06:00:00,444.93,144.67,341.58,18.8,4.19
2023-01-04 07:00:00,376.03,284.06,568.92,20.09,4.6
2023-01-04 08:00:00,366.31,325.87,685.2,20.74,5.0
2023-01-04 09:00:00,360.52,383.62,763.7,21.27,5.56
2023-01-04 10:00:00,355.93,406.65,815.2,21.22,6.17
2023-01-04 11:00:00,383.81,361.29,821.35,20.81,6.74
2023-01-04 12:00:00,639.2,182.01,718.28,20.14,7.36
2023-01-04 13:00:00,583.12,240.43,737.9,19.28,7.76
2023-01-04 14:00:00,477.8,234.44,582.03,18.25,7.91
2023-01-04 15:00:00,423.52,209.71,423.98,17.23,7.92
2023-01-04 16:00:00,441.63,90.89,220.68,16.33,7.83
2023-01-04 17:00:00,178.85,28.38,46.78,15.54,7.48
2023-01-04 18:00:00,0.0,0.0,0.0,15.17,7.11
2023-01-04 19:00:00,0.0,0.0,0.0,15.02,6.92
2023-01-04 20:00:00,0.0,0.0,0.0,14.83,6.76
2023-01-04 21:00:00,0.0,0.0,0.0,14.58,6.66
2023-01-04 22:00:00,0.0,0.0,0.0,14.37,6.52
2023-01-04 23:00:00,0.0,0.0,0.0,14.32,6.5
2023-01-05 00:00:00,0.0,0.0,0.0,14.35,6.84
