-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  -33.93   longitude 18.42 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 18.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2023,1,1,9.3538,9.3725
2023,1,2,9.2954,9.3089
2023,1,3,8.7144,9.2045
2023,1,4,7.0114,9.0295
2023,1,5,9.2162,9.3115
2023,1,6,9.2386,9.2736
2023,1,7,9.2551,9.3398
2023,1,8,9.3314,9.3514
2023,1,9,8.3851,9.2395
2023,1,10,8.832,9.18
2023,1,11,6.6691,8.8824
2023,1,12,6.6588,8.9131
2023,1,13,9.1522,9.2155
2023,1,14,8.3875,8.9438
2023,1,15,8.7653,8.9683
2023,1,16,8.7941,8.8958
2023,1,17,7.8151,8.6429
2023,1,18,6.1951,8.6122
2023,1,19,8.1943,8.8572
2023,1,20,8.6246,8.801
2023,1,21,8.8238,8.8531
2023,1,22,8.1137,8.8243
2023,1,23,8.815,8.9033
2023,1,24,5.6974,8.7643
2023,1,25,9.0178,9.0463
2023,1,26,8.9002,8.9938
2023,1,27,8.8793,8.9062
2023,1,28,7.2026,8.483
2023,1,29,8.5392,8.8778
2023,1,30,8.6186,8.6683
2023,1,31,8.5944,8.6311
2023,2,1,8.0393,8.4857
2023,2,2,8.7492,8.7691
2023,2,3,8.7089,8.7302
2023,2,4,8.43,8.4614
2023,2,5,5.2308,8.2762
2023,2,6,8.1113,8.2702
2023,2,7,5.6969,8.1293
2023,2,8,8.1878,8.2543
2023,2,9,8.2159,8.2553
2023,2,10,8.2433,8.2714
2023,2,11,8.1072,8.1432
2023,2,12,7.337,8.119
2023,2,13,8.1367,8.1694
2023,2,14,7.285,8.0006
2023,2,15,7.8883,7.9781
2023,2,16,7.3927,7.8595
2023,2,17,7.4258,7.6735
2023,2,18,7.6958,7.8677
2023,2,19,7.5794,7.8576
2023,2,20,4.2298,7.764
2023,2,21,7.0898,7.8703
2023,2,22,7.7088,7.7861
2023,2,23,7.7606,7.8199
2023,2,24,7.6666,7.7232
2023,2,25,7.7184,7.8226
2023,2,26,7.7086,7.7626
2023,2,27,7.4964,7.5578
2023,2,28,7.4741,7.5898
2023,3,1,7.4477,7.5036
2023,3,2,7.3306,7.349
2023,3,3,4.5866,7.1318
2023,3,4,4.9543,6.9917
2023,3,5,4.3932,6.901
2023,3,6,5.2848,6.979
2023,3,7,5.2279,6.9922
2023,3,8,4.2802,6.8993
2023,3,9,3.4006,6.9326
2023,3,10,6.9655,7.1155
2023,3,11,6.227,6.971
2023,3,12,7.0572,7.0723
2023,3,13,6.9041,6.9262
2023,3,14,6.7282,6.7704
2023,3,15,6.5374,6.5566
2023,3,16,6.0922,6.3922
2023,3,17,3.0286,6.5426
2023,3,18,4.7342,6.384
2023,3,19,6.4339,6.5071
2023,3,20,5.1182,6.4702
2023,3,21,5.3614,6.331
2023,3,22,5.0222,6.3168
2023,3,23,2.8596,5.9354
2023,3,24,5.7698,6.1346
2023,3,25,2.7773,6.0506
2023,3,26,6.2335,6.2753
2023,3,27,6.2887,6.4152
2023,3,28,6.1015,6.1961
2023,3,29,5.2284,6.036
2023,3,30,5.9777,6.0156
2023,3,31,6.0209,6.0331
2023,4,1,5.9244,5.9321
2023,4,2,4.8533,5.754
2023,4,3,4.9831,5.7386
2023,4,4,5.7022,5.7242
2023,4,5,5.6825,5.6988
2023,4,6,4.8276,5.5063
2023,4,7,2.9899,5.4389
2023,4,8,4.5996,5.4382
2023,4,9,5.3959,5.4878
2023,4,10,4.8398,5.4898
2023,4,11,5.2234,5.4511
2023,4,12,3.1394,5.2135
2023,4,13,4.2204,5.1785
2023,4,14,5.3256,5.341
2023,4,15,5.2517,5.2673
2023,4,16,5.2356,5.2726
2023,4,17,5.2073,5.2478
2023,4,18,5.1511,5.1768
2023,4,19,4.087,4.9517
2023,4,20,3.9276,4.871
2023,4,21,4.2437,4.921
2023,4,22,1.205,4.5696
2023,4,23,1.4753,4.5182
2023,4,24,2.7907,4.5514
2023,4,25,4.26,4.5785
2023,4,26,4.2595,4.5302
2023,4,27,2.803,4.4957
2023,4,28,3.9502,4.5638
2023,4,29,4.1054,4.4246
2023,4,30,4.4786,4.5055
2023,5,1,4.2948,4.4599
2023,5,2,3.5659,4.2554
2023,5,3,4.415,4.4359
2023,5,4,4.1798,4.2689
2023,5,5,4.2698,4.2826
2023,5,6,3.4855,4.0913
2023,5,7,4.0675,4.0956
2023,5,8,3.8616,4.0956
2023,5,9,4.0766,4.0997
2023,5,10,3.9698,4.0253
2023,5,11,1.7278,3.8206
2023,5,12,3.9516,4.0001
2023,5,13,3.8825,3.9305
2023,5,14,3.9017,3.9312
2023,5,15,3.8647,3.8722
2023,5,16,3.7188,3.7954
2023,5,17,2.6441,3.6946
2023,5,18,3.8021,3.8129
2023,5,19,3.7015,3.7771
2023,5,20,3.3086,3.6158
2023,5,21,2.5776,3.5676
2023,5,22,3.3108,3.6226
2023,5,23,3.4248,3.5791
2023,5,24,3.2362,3.5434
2023,5,25,0.7994,3.473
2023,5,26,2.2493,3.5974
2023,5,27,3.6377,3.6629
2023,5,28,3.4366,3.4831
2023,5,29,1.476,3.0761
2023,5,30,1.5365,3.1829
2023,5,31,2.2853,3.1625
2023,6,1,2.6138,3.2028
2023,6,2,1.944,3.3562
2023,6,3,2.1914,3.295
2023,6,4,2.2354,3.3494
2023,6,5,2.4967,3.4135
2023,6,6,3.319,3.3646
2023,6,7,1.595,3.2479
2023,6,8,1.7098,3.1486
2023,6,9,2.6657,3.2162
2023,6,10,3.0665,3.2947
2023,6,11,2.2579,3.245
2023,6,12,2.3083,3.2182
2023,6,13,1.3318,3.0953
2023,6,14,0.9209,3.1342
2023,6,15,2.5529,3.174
2023,6,16,2.4182,3.1627
2023,6,17,1.5742,3.1121
2023,6,18,2.6225,3.2419
2023,6,19,2.7528,3.2189
2023,6,20,2.5694,3.2105
2023,6,21,2.4338,3.077
2023,6,22,3.1466,3.1702
