time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo
2024-01-01 00:00,0.0,17.31,7.09,87.41,9935.0,-999.0
2024-01-01 01:00,0.0,17.07,7.17,88.57,9933.0,-999.0
2024-01-01 02:00,0.0,16.97,7.26,88.72,9933.0,-999.0
2024-01-01 03:00,0.0,16.97,7.3,88.4,9933.0,-999.0
2024-01-01 04:00,0.0,16.98,7.64,87.97,9937.0,-999.0
2024-01-01 05:00,116.4,17.77,8.3,83.47,9939.0,0.21
2024-01-01 06:00,319.08,19.5,9.23,74.23,9942.0,0.18
2024-01-01 07:00,543.35,21.69,9.2,64.13,9943.0,0.16
2024-01-01 08:00,746.53,23.94,8.46,55.63,9941.0,0.15
2024-01-01 09:00,910.12,25.93,7.66,48.87,9939.0,0.15
2024-01-01 10:00,1022.25,27.52,6.93,43.81,9936.0,0.15
2024-01-01 11:00,1070.62,28.72,6.44,40.19,9930.0,0.15
2024-01-01 12:00,1057.62,29.54,6.36,37.96,9924.0,0.15
2024-01-01 13:00,981.17,29.89,6.62,37.25,9917.0,0.15
2024-01-01 14:00,853.72,29.88,7.04,37.51,9911.0,0.14
2024-01-01 15:00,668.7,29.36,7.53,39.1,9906.0,0.14
2024-01-01 16:00,453.4,28.44,8.25,42.03,9903.0,0.15
2024-01-01 17:00,236.5,26.92,8.98,47.31,9904.0,0.19
2024-01-01 18:00,46.15,24.55,9.29,56.35,9908.0,0.22
2024-01-01 19:00,0.0,22.47,9.4,64.72,9912.0,-999.0
2024-01-01 20:00,0.0,21.11,9.03,70.73,9916.0,-999.0
2024-01-01 21:00,0.0,20.25,8.95,74.72,9918.0,-999.0
2024-01-01 22:00,0.0,19.57,8.32,78.34,9916.0,-999.0
2024-01-01 23:00,0.0,19.03,7.6,81.4,9911.0,-999.0
2024-01-02 00:00,0.0,18.56,7.08,83.93,9905.0,-999.0
2024-01-02 01:00,0.0,18.3,6.55,85.18,9899.0,-999.0
2024-01-02 02:00,0.0,18.04,5.72,86.48,9895.0,-999.0
2024-01-02 03:00,0.0,17.68,4.99,88.47,9896.0,-999.0
2024-01-02 04:00,0.0,17.47,4.71,89.43,9898.0,-999.0
2024-01-02 05:00,112.7,18.87,5.04,81.85,9901.0,0.24
2024-01-02 06:00,314.02,21.18,4.41,71.83,9903.0,0.19
2024-01-02 07:00,527.45,25.19,2.83,55.49,9903.0,0.16
2024-01-02 08:00,723.0,28.89,1.86,40.82,9901.0,0.15
2024-01-02 09:00,880.53,30.67,2.45,34.88,9899.0,0.15
2024-01-02 10:00,986.92,31.44,3.1,32.67,9897.0,0.15
2024-01-02 11:00,1028.75,31.63,3.48,32.17,9895.0,0.15
2024-01-02 12:00,1011.88,31.52,3.58,32.73,9891.0,0.15
2024-01-02 13:00,901.92,31.27,3.37,33.57,9889.0,0.15
2024-01-02 14:00,760.78,30.88,2.95,34.53,9886.0,0.15
2024-01-02 15:00,567.7,30.01,2.45,36.28,9884.0,0.16
2024-01-02 16:00,375.9,28.67,2.42,39.71,9882.0,0.17
2024-01-02 17:00,192.93,27.07,3.45,45.49,9884.0,0.18
2024-01-02 18:00,39.95,24.8,4.6,56.95,9887.0,0.21
2024-01-02 19:00,0.0,23.19,5.77,63.85,9890.0,-999.0
2024-01-02 20:00,0.0,22.43,6.8,67.36,9894.0,-999.0
2024-01-02 21:00,0.0,21.44,7.17,72.32,9899.0,-999.0
2024-01-02 22:00,0.0,20.48,6.85,76.91,9899.0,-999.0
2024-01-02 23:00,0.0,19.77,6.44,80.61,9895.0,-999.0
2024-01-03 00:00,0.0,19.18,6.08,83.94,9890.0,-999.0
2024-01-03 01:00,0.0,18.66,5.74,87.11,9887.0,-999.0
2024-01-03 02:00,0.0,18.19,5.36,89.85,9885.0,-999.0
2024-01-03 03:00,0.0,17.85,5.15,91.81,9887.0,-999.0
2024-01-03 04:00,0.0,17.71,5.3,92.67,9891.0,-999.0
2024-01-03 05:00,111.45,18.79,6.18,86.56,9896.0,0.21
2024-01-03 06:00,310.02,20.77,6.52,75.62,9899.0,0.18
2024-01-03 07:00,541.85,23.01,6.16,64.96,9901.0,0.16
2024-01-03 08:00,744.0,25.29,5.46,55.58,9900.0,0.15
2024-01-03 09:00,908.65,27.23,5.01,48.56,9898.0,0.12
2024-01-03 10:00,1024.72,28.45,5.13,44.24,9895.0,0.13
2024-01-03 11:00,1076.1,29.13,5.62,41.77,9891.0,0.14
2024-01-03 12:00,1065.45,29.45,6.27,40.77,9887.0,0.15
2024-01-03 13:00,986.15,29.36,7.11,41.35,9885.0,0.15
2024-01-03 14:00,853.03,28.81,8.08,43.3,9881.0,0.15
2024-01-03 15:00,674.25,27.75,9.14,46.89,9880.0,0.16
2024-01-03 16:00,464.58,26.28,10.1,52.27,9881.0,0.17
2024-01-03 17:00,244.5,24.4,10.69,58.83,9885.0,0.19
2024-01-03 18:00,49.88,21.95,10.48,68.33,9891.0,0.23
2024-01-03 19:00,0.0,20.2,10.06,76.52,9897.0,-999.0
2024-01-03 20:00,0.0,19.6,9.88,80.01,9901.0,-999.0
2024-01-03 21:00,0.0,19.36,9.74,81.92,9903.0,-999.0
2024-01-03 22:00,0.0,19.03,9.51,83.6,9901.0,-999.0
2024-01-03 23:00,0.0,18.67,9.08,85.01,9894.0,-999.0
2024-01-04 00:00,0.0,18.44,8.45,85.67,9887.0,-999.0
2024-01-04 01:00,0.0,18.36,7.73,85.67,9880.0,-999.0
2024-01-04 02:00,0.0,18.27,6.96,86.05,9876.0,-999.0
2024-01-04 03:00,0.0,18.01,6.06,87.63,9878.0,-999.0
2024-01-04 04:00,0.0,17.62,5.46,90.39,9882.0,-999.0
2024-01-04 05:00,101.45,18.67,6.15,85.39,9887.0,0.2
2024-01-04 06:00,302.88,20.42,6.37,77.32,9889.0,0.18
2024-01-04 07:00,531.8,22.64,5.78,68.41,9889.0,0.16
2024-01-04 08:00,731.42,25.18,4.67,58.95,9887.0,0.15
2024-01-04 09:00,906.47,27.04,3.71,52.92,9882.0,0.14
2024-01-04 10:00,1014.15,28.03,3.17,49.34,9876.0,0.15
2024-01-04 11:00,1060.62,28.9,2.84,45.94,9871.0,0.15
2024-01-04 12:00,1047.78,29.88,2.69,42.8,9866.0,0.15
2024-01-04 13:00,993.65,30.82,2.68,40.08,9860.0,0.15
2024-01-04 14:00,813.3,30.91,2.71,39.32,9854.0,0.15
2024-01-04 15:00,678.3,30.58,2.91,39.74,9851.0,0.16
2024-01-04 16:00,471.3,29.9,3.23,41.21,9851.0,0.17
2024-01-04 17:00,249.77,28.65,4.0,44.7,9853.0,0.19
2024-01-04 18:00,51.65,26.1,4.72,56.15,9855.0,0.22
2024-01-04 19:00,0.0,23.59,5.34,65.56,9857.0,-999.0
2024-01-04 20:00,0.0,22.32,5.22,70.13,9861.0,-999.0
2024-01-04 21:00,0.0,21.49,4.6,72.99,9862.0,-999.0
2024-01-04 22:00,0.0,20.91,3.59,74.81,9862.0,-999.0
2024-01-04 23:00,0.0,20.38,2.82,76.11,9860.0,-999.0
2024-01-05 00:00,0.0,19.74,2.39,77.4,9857.0,-999.0
2024-01-05 01:00,0.0,18.87,2.16,79.18,9854.0,-999.0
2024-01-05 02:00,0.0,18.08,2.68,80.27,9856.0,-999.0
2024-01-05 03:00,0.0,17.47,3.4,80.63,9860.0,-999.0
2024-01-05 04:00,0.0,17.25,3.67,80.7,9867.0,-999.0
2024-01-05 05:00,86.95,18.04,4.36,77.96,9873.0,0.19
2024-01-05 06:00,207.18,19.08,5.63,74.77,9876.0,0.17
2024-01-05 07:00,318.98,20.84,6.19,63.75,9878.0,0.16
2024-01-05 08:00,423.05,22.78,6.41,51.52,9877.0,0.16
2024-01-05 09:00,736.2,24.41,6.58,42.99,9873.0,0.15
2024-01-05 10:00,988.03,25.65,6.85,37.96,9869.0,0.15
2024-01-05 11:00,1084.35,26.5,7.19,35.45,9865.0,0.15
2024-01-05 12:00,1094.28,26.56,7.5,35.53,9861.0,0.15
2024-01-05 13:00,1016.1,26.37,7.92,36.7,9859.0,0.15
2024-01-05 14:00,878.4,25.89,8.39,39.75,9863.0,0.15
2024-01-05 15:00,698.95,24.77,8.0,44.99,9863.0,0.15
2024-01-05 16:00,460.58,23.49,7.74,51.14,9864.0,0.17
2024-01-05 17:00,237.88,21.76,7.41,60.2,9870.0,0.18
2024-01-05 18:00,48.9,19.93,6.68,71.94,9878.0,0.22
2024-01-05 19:00,0.0,18.72,5.87,82.48,9884.0,-999.0
2024-01-05 20:00,0.0,18.37,5.42,87.02,9888.0,-999.0
2024-01-05 21:00,0.0,18.22,5.06,88.61,9890.0,-999.0
2024-01-05 22:00,0.0,18.05,4.78,90.76,9889.0,-999.0
2024-01-05 23:00,0.0,17.89,4.52,92.49,9886.0,-999.0
2024-01-06 00:00,0.0,17.79,4.48,93.56,9881.0,-999.0
2024-01-06 01:00,0.0,17.73,4.41,94.11,9877.0,-999.0
2024-01-06 02:00,0.0,17.64,4.25,94.72,9876.0,-999.0
2024-01-06 03:00,0.0,17.56,4.12,95.08,9880.0,-999.0
2024-01-06 04:00,0.0,17.47,4.0,95.37,9886.0,-999.0
2024-01-06 05:00,101.95,17.89,4.52,92.62,9892.0,0.2
2024-01-06 06:00,290.73,18.92,5.5,83.44,9898.0,0.18
2024-01-06 07:00,487.15,20.08,5.82,73.26,9903.0,0.16
2024-01-06 08:00,717.75,21.18,5.84,65.6,9904.0,0.15
2024-01-06 09:00,832.8,22.21,5.89,59.06,9902.0,0.15
2024-01-06 10:00,919.47,23.05,6.13,53.88,9901.0,0.15
2024-01-06 11:00,995.8,23.63,6.49,50.14,9900.0,0.15
2024-01-06 12:00,992.33,23.87,6.52,47.76,9899.0,0.15
2024-01-06 13:00,914.65,23.79,6.35,46.87,9897.0,0.15
2024-01-06 14:00,867.65,23.48,6.17,46.97,9894.0,0.14
2024-01-06 15:00,661.35,22.89,6.16,48.68,9895.0,0.16
2024-01-06 16:00,451.4,21.96,6.22,52.74,9900.0,0.17
2024-01-06 17:00,233.12,20.74,5.73,59.83,9908.0,0.18
2024-01-06 18:00,46.12,19.31,4.32,69.48,9912.0,0.21
2024-01-06 19:00,0.0,18.06,2.71,79.62,9913.0,-999.0
2024-01-06 20:00,0.0,17.54,2.54,85.75,9916.0,-999.0
2024-01-06 21:00,0.0,17.55,2.91,88.56,9921.0,-999.0
2024-01-06 22:00,0.0,17.33,3.16,91.09,9923.0,-999.0
2024-01-06 23:00,0.0,17.05,3.53,91.56,9920.0,-999.0
2024-01-07 00:00,0.0,16.73,4.02,90.77,9917.0,-999.0
2024-01-07 01:00,0.0,16.45,4.26,89.87,9916.0,-999.0
2024-01-07 02:00,0.0,16.22,4.13,89.24,9917.0,-999.0
2024-01-07 03:00,0.0,16.02,4.0,88.85,9919.0,-999.0
2024-01-07 04:00,0.0,15.83,3.95,88.57,9923.0,-999.0
2024-01-07 05:00,31.42,16.0,4.48,85.91,9927.0,0.15
2024-01-07 06:00,113.5,16.57,4.75,80.46,9932.0,0.15
2024-01-07 07:00,209.75,17.21,4.9,75.2,9936.0,0.16
2024-01-07 08:00,297.2,17.6,5.23,71.67,9940.0,0.16
2024-01-07 09:00,461.25,17.71,5.65,69.65,9944.0,0.16
2024-01-07 10:00,447.6,18.26,5.92,65.92,9944.0,0.16
2024-01-07 11:00,559.8,19.36,5.89,60.9,9943.0,0.16
2024-01-07 12:00,603.08,20.29,5.88,57.13,9939.0,0.16
2024-01-07 13:00,617.25,20.72,6.0,55.23,9936.0,0.16
2024-01-07 14:00,634.15,20.24,6.23,56.15,9935.0,0.16
2024-01-07 15:00,458.02,19.87,6.56,57.04,9934.0,0.16
2024-01-07 16:00,300.52,19.15,6.79,59.3,9935.0,0.16
2024-01-07 17:00,168.75,18.31,6.91,62.38,9940.0,0.17
2024-01-07 18:00,39.55,17.37,6.59,66.61,9944.0,0.19
2024-01-07 19:00,0.0,16.63,5.59,71.6,9949.0,-999.0
2024-01-07 20:00,0.0,16.21,5.15,75.03,9953.0,-999.0
2024-01-07 21:00,0.0,15.71,4.88,78.46,9955.0,-999.0
2024-01-07 22:00,0.0,15.29,4.91,81.13,9952.0,-999.0
2024-01-07 23:00,0.0,14.82,4.69,84.05,9947.0,-999.0
2024-01-08 00:00,0.0,14.44,4.41,86.48,9942.0,-999.0
2024-01-08 01:00,0.0,14.2,4.34,88.09,9938.0,-999.0
2024-01-08 02:00,0.0,14.23,4.59,87.99,9935.0,-999.0
2024-01-08 03:00,0.0,14.2,4.68,88.17,9936.0,-999.0
2024-01-08 04:00,0.0,14.14,4.61,88.64,9939.0,-999.0
2024-01-08 05:00,106.7,15.29,5.17,82.96,9943.0,0.22
2024-01-08 06:00,322.25,16.94,6.0,73.3,9945.0,0.19
2024-01-08 07:00,549.75,18.65,6.04,64.77,9943.0,0.17
2024-01-08 08:00,757.17,20.36,6.02,57.61,9939.0,0.16
2024-01-08 09:00,926.75,21.94,6.1,51.42,9933.0,0.15
2024-01-08 10:00,1044.07,23.17,6.31,46.91,9928.0,0.15
2024-01-08 11:00,1097.72,24.06,6.79,43.9,9920.0,0.15
2024-01-08 12:00,1088.68,24.63,7.35,42.08,9911.0,0.15
2024-01-08 13:00,1015.0,24.82,7.84,41.83,9905.0,0.15
2024-01-08 14:00,880.72,24.63,8.24,43.0,9899.0,0.15
2024-01-08 15:00,698.47,24.07,8.58,45.34,9895.0,0.16
2024-01-08 16:00,483.38,23.13,8.89,48.92,9893.0,0.17
2024-01-08 17:00,256.45,21.71,9.15,54.43,9896.0,0.19
2024-01-08 18:00,53.85,19.82,8.87,62.61,9901.0,0.23
2024-01-08 19:00,0.0,18.27,8.46,70.58,9907.0,-999.0
2024-01-08 20:00,0.0,17.35,7.94,76.03,9912.0,-999.0
2024-01-08 21:00,0.0,16.79,7.49,80.28,9915.0,-999.0
2024-01-08 22:00,0.0,16.38,6.96,83.74,9913.0,-999.0
2024-01-08 23:00,0.0,16.03,6.34,86.36,9908.0,-999.0
2024-01-09 00:00,0.0,15.75,5.77,88.55,9900.0,-999.0
2024-01-09 01:00,0.0,15.36,5.1,91.36,9893.0,-999.0
2024-01-09 02:00,0.0,14.95,4.7,94.72,9892.0,-999.0
2024-01-09 03:00,0.0,14.62,4.6,97.62,9893.0,-999.0
2024-01-09 04:00,0.0,14.58,4.6,98.47,9897.0,-999.0
2024-01-09 05:00,100.5,16.04,5.4,90.02,9898.0,0.2
2024-01-09 06:00,312.23,18.05,6.09,78.41,9898.0,0.16
2024-01-09 07:00,536.8,20.28,5.98,67.61,9894.0,0.13
2024-01-09 08:00,728.8,22.65,5.3,57.76,9888.0,0.15
2024-01-09 09:00,897.25,25.01,4.49,47.85,9881.0,0.15
2024-01-09 10:00,1011.58,26.56,4.36,42.36,9874.0,0.15
2024-01-09 11:00,1052.78,27.46,4.8,39.81,9868.0,0.15
2024-01-09 12:00,1023.12,27.97,5.64,39.0,9864.0,0.15
2024-01-09 13:00,977.38,27.73,7.03,40.73,9865.0,0.15
2024-01-09 14:00,771.35,26.26,8.78,46.62,9868.0,0.15
