site,date_local
WC,2023-01-01
WC,2023-01-02
WC,2023-01-03
WC,2023-01-04
WC,2023-01-05
WC,2023-01-06
WC,2023-01-07
WC,2023-01-08
WC,2023-01-09
WC,2023-01-10
WC,2023-01-11
WC,2023-01-12
WC,2023-01-13
WC,2023-01-14
WC,2023-01-15
WC,2023-01-16
WC,2023-01-17
WC,2023-01-18
WC,2023-01-19
WC,2023-01-20
WC,2023-01-21
WC,2023-01-22
WC,2023-01-23
WC,2023-01-24
WC,2023-01-25
WC,2023-01-26
WC,2023-01-27
WC,2023-01-28
WC,2023-01-29
WC,2023-01-30
WC,2023-01-31
WC,2023-02-01
WC,2023-02-02
WC,2023-02-03
WC,2023-02-04
WC,2023-02-05
WC,2023-02-06
WC,2023-02-07
WC,2023-02-08
WC,2023-02-09
WC,2023-02-10
WC,2023-02-11
WC,2023-02-12
WC,2023-02-13
WC,2023-02-14
WC,2023-02-15
WC,2023-02-16
WC,2023-02-17
WC,2023-02-18
WC,2023-02-19
WC,2023-02-20
WC,2023-02-21
WC,2023-02-22
WC,2023-02-23
WC,2023-02-24
WC,2023-02-25
WC,2023-02-26
WC,2023-02-27
WC,2023-02-28
WC,2023-03-01
WC,2023-03-02
WC,2023-03-03
WC,2023-03-04
WC,2023-03-05
WC,2023-03-06
WC,2023-03-07
WC,2023-03-08
WC,2023-03-09
WC,2023-03-10
WC,2023-03-11
WC,2023-03-12
WC,2023-03-13
WC,2023-03-14
WC,2023-03-15
WC,2023-03-16
WC,2023-03-17
WC,2023-03-18
WC,2023-03-19
WC,2023-03-20
WC,2023-03-21
WC,2023-03-22
WC,2023-03-23
WC,2023-03-24
WC,2023-03-25
WC,2023-03-26
WC,2023-03-27
WC,2023-03-28
WC,2023-03-29
WC,2023-03-30
WC,2023-03-31
WC,2023-04-01
WC,2023-04-02
WC,2023-04-03
WC,2023-04-04
WC,2023-04-05
WC,2023-04-06
WC,2023-04-07
WC,2023-04-08
WC,2023-04-09
WC,2023-04-10
WC,2023-04-11
WC,2023-04-12
WC,2023-04-13
WC,2023-04-14
WC,2023-04-15
WC,2023-04-16
WC,2023-04-17
WC,2023-04-18
WC,2023-04-19
WC,2023-04-20
WC,2023-04-21
WC,2023-04-22
WC,2023-04-23
WC,2023-04-24
WC,2023-04-25
WC,2023-04-26
WC,2023-04-27
WC,2023-04-28
WC,2023-04-29
WC,2023-04-30
WC,2023-05-01
WC,2023-05-02
WC,2023-05-03
WC,2023-05-04
WC,2023-05-05
WC,2023-05-06
WC,2023-05-07
WC,2023-05-08
WC,2023-05-09
WC,2023-05-10
WC,2023-05-11
WC,2023-05-12
WC,2023-05-13
WC,2023-05-14
WC,2023-05-15
WC,2023-05-16
WC,2023-05-17
WC,2023-05-18
WC,2023-05-19
WC,2023-05-20
WC,2023-05-21
WC,2023-05-22
WC,2023-05-23
WC,2023-05-24
WC,2023-05-25
WC,2023-05-26
WC,2023-05-27
WC,2023-05-28
WC,2023-05-29
WC,2023-05-30
WC,2023-05-31
WC,2023-06-01
WC,2023-06-02
WC,2023-06-03
WC,2023-06-04
WC,2023-06-05
WC,2023-06-06
WC,2023-06-07
WC,2023-06-08
WC,2023-06-09
WC,2023-06-10
WC,2023-06-11
WC,2023-06-12
WC,2023-06-13
WC,2023-06-14
WC,2023-06-15
WC,2023-06-16
WC,2023-06-17
WC,2023-06-18
WC,2023-06-19
WC,2023-06-20
WC,2023-06-21
WC,2023-06-22
WC,2023-06-23
WC,2023-06-24
WC,2023-06-25
WC,2023-06-26
WC,2023-06-27
WC,2023-06-28
WC,2023-06-29
WC,2023-06-30
WC,2023-07-01
WC,2023-07-02
WC,2023-07-03
WC,2023-07-04
WC,2023-07-05
WC,2023-07-06
WC,2023-07-07
WC,2023-07-08
WC,2023-07-09
