date,delta_deg,E_day_kWh
2024-01-01,10,2.2547943856656167
2024-01-01,11,2.254005298380282
2024-01-01,12,2.252879185288073
2024-01-01,13,2.251452107051398
2024-01-01,14,2.2497608525688135
2024-01-02,10,1.913801395667172
2024-01-02,11,1.9130767534618782
2024-01-02,12,1.9120865723030562
2024-01-02,13,1.910829951760544
2024-01-02,14,1.9093565971333464
2024-01-03,10,2.254851131851082
2024-01-03,11,2.25424508305566
2024-01-03,12,2.253306214300396
2024-01-03,13,2.2520338625301246
2024-01-03,14,2.2504272801666785
2024-01-04,10,2.073905633113056
2024-01-04,11,2.073290773968545
2024-01-04,12,2.0723911676423357
2024-01-04,13,2.071206270715362
2024-01-04,14,2.069735418292865
2024-01-05,10,2.0396077225077764
2024-01-05,11,2.038650493695703
2024-01-05,12,2.0373815186968782
2024-01-05,13,2.035800579299596
2024-01-05,14,2.033907397039586
2024-01-06,10,2.200510106234757
2024-01-06,11,2.1995825421636903
2024-01-06,12,2.198322857749393
2024-01-06,13,2.196730753115392
2024-01-06,14,2.194805865122255
2024-01-07,10,1.2718158821946277
2024-01-07,11,1.2707118306427216
2024-01-07,12,1.2694412765475247
2024-01-07,13,1.268004506155231
2024-01-07,14,1.2664018299294628
2024-01-08,10,2.4151133936152047
2024-01-08,11,2.41438765181546
2024-01-08,12,2.413303246897364
2024-01-08,13,2.411859662868733
2024-01-08,14,2.4100562963518213
2024-01-09,10,2.0044247167584888
2024-01-09,11,2.002446829227517
2024-01-09,12,2.0001810660437958
2024-01-09,13,1.9976262852401956
2024-01-09,14,1.9947812661802509
2024-01-10,10,2.396862828085227
2024-01-10,11,2.3959630520038533
2024-01-10,12,2.394690162662202
2024-01-10,13,2.3930438952192308
2024-01-10,14,2.3910239294260287
2024-01-11,10,2.1137497594308114
2024-01-11,11,2.113364928273858
2024-01-11,12,2.112700312913983
2024-01-11,13,2.111755147371613
2024-01-11,14,2.110528533287447
2024-01-12,10,1.9970086127155275
2024-01-12,11,1.9962658330038312
2024-01-12,12,1.9952176931305916
2024-01-12,13,1.9938639047159972
2024-01-12,14,1.9922041032648765
2024-01-13,10,2.1901742280803864
2024-01-13,11,2.1894338868841228
2024-01-13,12,2.1883741844049642
2024-01-13,13,2.1869946315017406
2024-01-13,14,2.18529463506445
2024-01-14,10,2.2440202574958006
2024-01-14,11,2.2433679020979436
2024-01-14,12,2.242393599136087
2024-01-14,13,2.2410968781076006
2024-01-14,14,2.2394771577351102
2024-01-15,10,2.2071769224538467
2024-01-15,11,2.2066014014836344
2024-01-15,12,2.205711385808613
2024-01-15,13,2.2045062950013006
2024-01-15,14,2.202985435073741
2024-01-16,10,2.2854973152976417
2024-01-16,11,2.2848378373912746
2024-01-16,12,2.2838285783167
2024-01-16,13,2.282469199607661
2024-01-16,14,2.280759298577183
2024-01-17,10,2.348609754661745
2024-01-17,11,2.347924556256244
2024-01-17,12,2.346877888914284
2024-01-17,13,2.3454693974710965
2024-01-17,14,2.343698659572304
2024-01-18,10,2.171708210413889
2024-01-18,11,2.171387032496517
2024-01-18,12,2.1707538901091303
2024-01-18,13,2.169808056829843
2024-01-18,14,2.1685487168563213
