date,delta_deg,E_day_kWh
2023-01-01,-24.0,2.0709441642169737
2023-01-01,-22.0,2.0927573878156984
2023-01-01,-20.0,2.1130868561619263
2023-01-01,-18.0,2.131923026546193
2023-01-01,-16.0,2.149496314004328
2023-01-01,-14.0,2.1665203838112945
2023-01-01,-12.0,2.1819517439865432
2023-01-01,-10.0,2.1964249582756152
2023-01-01,-8.0,2.2093658108773884
2023-01-01,-6.0,2.2285126364883614
2023-01-01,-4.0,2.254920544956024
2023-01-01,-2.0,2.279222424482776
2023-01-01,0.0,2.3013773566591427
2023-01-01,2.0,2.3209888809163997
2023-01-01,4.0,2.3384716767041986
2023-01-01,6.0,2.35405668480442
2023-01-01,8.0,2.3678029405279237
2023-01-01,10.0,2.379792251568909
2023-01-01,12.0,2.390195309618296
2023-01-01,14.0,2.398737473932652
2023-01-01,16.0,2.4054215656618148
2023-01-01,18.0,2.4107265323006604
2023-01-01,20.0,2.4150155117093646
2023-01-01,22.0,2.4179288147177727
2023-01-01,24.0,2.420409751646328
2023-01-02,-24.0,1.8926836514830743
2023-01-02,-22.0,1.91192532942778
2023-01-02,-20.0,1.9298607790186346
2023-01-02,-18.0,1.9464919482592689
2023-01-02,-16.0,1.9619690552624536
2023-01-02,-14.0,1.976971257169072
2023-01-02,-12.0,1.9906119915540021
2023-01-02,-10.0,2.003366531146284
2023-01-02,-8.0,2.0147844344313617
2023-01-02,-6.0,2.0305183924715107
2023-01-02,-4.0,2.0565654767049195
2023-01-02,-2.0,2.0807631778665803
2023-01-02,0.0,2.103072957409238
2023-01-02,2.0,2.12314250870874
2023-01-02,4.0,2.1413483650599243
2023-01-02,6.0,2.157866921852527
2023-01-02,8.0,2.172757394574583
2023-01-02,10.0,2.186128904907621
2023-01-02,12.0,2.198066446191844
2023-01-02,14.0,2.208354516913474
2023-01-02,16.0,2.216993262415105
2023-01-02,18.0,2.224323971792348
2023-01-02,20.0,2.2306848669396575
2023-01-02,22.0,2.235843066992283
2023-01-02,24.0,2.2403866369853067
2023-01-03,-24.0,1.9908783002704797
2023-01-03,-22.0,2.0099806155861177
2023-01-03,-20.0,2.027735285300079
2023-01-03,-18.0,2.044141017253553
2023-01-03,-16.0,2.0593206729609803
2023-01-03,-14.0,2.0742906898384925
2023-01-03,-12.0,2.0877844424498537
2023-01-03,-10.0,2.100687455110212
2023-01-03,-8.0,2.1120525306464453
2023-01-03,-6.0,2.12409144279399
2023-01-03,-4.0,2.144651462150011
2023-01-03,-2.0,2.163370256809818
2023-01-03,0.0,2.1802499862831364
2023-01-03,2.0,2.1950843470619095
2023-01-03,4.0,2.20799934274164
2023-01-03,6.0,2.2193089447570187
2023-01-03,8.0,2.229073331952364
2023-01-03,10.0,2.2373211651228186
2023-01-03,12.0,2.2440722694625688
