deg,E_kWh
-22,526.0947107539896
-21,528.4765936547948
-20,530.8090251949827
-19,533.095487392533
-18,535.338398819594
-17,537.6048811848763
-16,539.8550999528211
-15,542.0545032258809
-14,544.2236746685085
-13,546.3633912383282
-12,548.4792198204067
-11,550.5829494044615
-10,552.6643541096049
-9,554.7218661708239
-8,556.7570853584144
-7,558.7576759651637
-6,560.6695027730734
-5,562.4766524421791
-4,564.1713354086259
-3,565.7465592651471
-2,567.2016392087206
-1,568.5334991582263
0,569.7410581802376
1,570.7731403337464
2,571.7028234821726
3,572.5313470306882
4,573.2613780046288
5,573.8935955013632
6,574.4299884566834
7,574.8757918274847
8,575.2355974549638
9,575.5088152524827
10,575.6966605421773
11,575.8029082029747
12,575.8388813302679
13,575.807270666248
14,575.7170651258147
15,575.5669997853397
16,575.3615724453897
17,575.0952281025789
18,574.7674135906211
19,574.3840319702551
20,573.9456497551874
21,573.4493469085562
22,572.8948958573924
