deg,E_kWh
-22,502.6879841616026
-21,505.0608252480649
-20,507.44073425049055
-19,509.7878258947741
-18,512.1014726241922
-17,514.3784442322491
-16,516.6174896955569
-15,518.8558886313491
-14,521.0677439731029
-13,523.2249736876468
-12,525.3254094511377
-11,527.3841675016889
-10,529.3982224753644
-9,531.3643310763632
-8,533.2921989112884
-7,535.1942270903933
-6,537.016019182873
-5,538.730618028679
-4,540.3337782062625
-3,541.8228380900651
-2,543.195705603943
-1,544.4487067434745
0,545.5804367038428
1,546.561952987958
2,547.4422619491407
3,548.2250238501655
4,548.9127615375371
5,549.5084109011264
6,550.0176969795181
7,550.4377012080289
8,550.771504274662
9,551.0205717904715
10,551.1920308290717
11,551.2950515727589
12,551.3359869097181
13,551.3087279718235
14,551.2111679633094
15,551.0455446252649
16,550.8153564919207
17,550.5242073961505
18,550.1931685084115
19,549.8209729713211
20,549.3976640348183
21,548.9257753143218
22,548.4075430685033
