delta_deg,E_year_kWh
-24.0,484.3796080982364
-22.0,488.5571293840303
-20.0,492.6639458749616
-18.0,496.7401603016334
-16.0,500.75864112064835
-14.0,504.7245567146562
-12.0,508.82132643836206
-10.0,513.320541382477
-8.0,518.1541292757768
-6.0,523.0946430658206
-4.0,527.9051610929754
-2.0,532.206230286517
0.0,535.9683856999076
2.0,539.1739790689741
4.0,541.931535237812
6.0,544.2421591072522
8.0,546.1230434650266
10.0,547.6004899137532
12.0,548.706013271395
14.0,549.4870780471089
16.0,549.9669559203531
18.0,550.1398148689863
20.0,550.0229363750364
22.0,549.6195401827778
24.0,548.9382131727358
