time,GHI,DNI,DHI,Tamb_C,Wspd_mps,tilt_deg,azimuth_deg,Gpoa_Wm2,Tcell_C,Pdc_W_total,Pac_W_total
2025-01-15 02:00:00+02:00,0.0,0.0,0.0,16.91,7.27,0.0,0.0,0.0,16.91,0.0,0.0
2025-01-15 03:00:00+02:00,0.0,0.0,0.0,16.84,7.06,0.0,0.0,0.0,16.84,0.0,0.0
2025-01-15 04:00:00+02:00,0.0,0.0,0.0,16.78,7.09,0.0,0.0,0.0,16.78,0.0,0.0
2025-01-15 05:00:00+02:00,0.0,0.0,0.0,16.7,7.14,0.0,0.0,0.0,16.7,0.0,0.0
2025-01-15 06:00:00+02:00,67.3,330.55,30.26,16.66,7.03,3.1212500701393533,90.0,53.420110319951405,17.390929248602337,24.309673790743133,22.87054110233114
2025-01-15 07:00:00+02:00,262.83,712.74,67.35,16.86,6.94,35.84468272020716,90.0,637.9473373918017,25.662964793400292,279.859413935419,263.2917366304422
2025-01-15 08:00:00+02:00,477.33,798.31,87.35,17.18,6.79,59.99999999999999,90.0,952.0390189194891,30.50574252864482,408.51863852809447,384.33433512723127
2025-01-15 09:00:00+02:00,714.55,905.8,91.37,17.71,6.63,53.075897524973264,90.0,1057.1071056251853,32.73656896773788,448.9339300577506,422.3570413983318
2025-01-15 10:00:00+02:00,886.88,966.16,86.41,18.03,6.41,40.4846154602898,89.99999879258174,1090.9207477249352,33.876179903157485,460.83237554152214,433.55109890946403
2025-01-15 11:00:00+02:00,976.3,907.17,170.55,18.28,6.18,27.204269361494276,90.0,1101.5891433693655,34.6553455173888,463.6394999635984,436.19204156575336
2025-01-15 12:00:00+02:00,1057.7,812.43,220.73,18.53,6.11,13.284461853691784,90.0,1027.603393200715,33.91503472252404,434.0064755442061,408.3132921919891
2025-01-15 13:00:00+02:00,1077.28,848.77,154.55,18.58,6.14,1.0118881032843714,270.0000296862879,982.1312678948906,33.239200745920606,416.1156440571894,391.4815979290038
2025-01-15 14:00:00+02:00,1023.35,940.03,147.92,18.51,6.19,15.280454369521768,270.0,1077.2906662519058,34.50787741911009,453.7272529038789,426.86659953196926
2025-01-15 15:00:00+02:00,899.9,982.91,83.45,18.4,6.24,29.12823596490881,270.0,1078.5208201691391,34.335214595534666,454.61407873639996,427.70092527520507
2025-01-15 16:00:00+02:00,716.67,956.77,69.16,18.24,6.39,42.319248043537364,270.0,1061.0271299867152,33.68264579153856,448.61114215927756,422.0533625434483
2025-01-15 17:00:00+02:00,495.05,926.82,54.05,18.07,6.56,54.83312733775817,270.0,1024.303425722313,32.73004811368352,435.0160360854059,409.26308674914986
2025-01-15 18:00:00+02:00,266.27,731.87,45.15,17.88,6.83,59.99999999999999,270.0,804.9432894857777,29.103852708775268,347.63437734978817,327.0544222106807
2025-01-15 19:00:00+02:00,56.58,352.62,18.23,17.59,7.06,29.632517635996887,270.0,261.17392130678076,21.153548859151822,116.90561897557264,109.98480633221874
2025-01-15 20:00:00+02:00,0.0,0.0,0.0,17.44,7.06,0.0,0.0,0.0,17.44,0.0,0.0
2025-01-15 21:00:00+02:00,0.0,0.0,0.0,17.42,6.81,0.0,0.0,0.0,17.42,0.0,0.0
2025-01-15 22:00:00+02:00,0.0,0.0,0.0,17.38,6.42,0.0,0.0,0.0,17.38,0.0,0.0
2025-01-15 23:00:00+02:00,0.0,0.0,0.0,17.33,6.25,0.0,0.0,0.0,17.33,0.0,0.0
2025-01-16 00:00:00+02:00,0.0,0.0,0.0,17.25,6.18,0.0,0.0,0.0,17.25,0.0,0.0
2025-01-16 01:00:00+02:00,0.0,0.0,0.0,17.15,6.04,0.0,0.0,0.0,17.15,0.0,0.0
