time,GHI,DNI,DHI,Tamb_C,Wspd_mps,tilt_deg,azimuth_deg,offset_deg,Gpoa_Wm2,Tcell_C,Pdc_W_total,Pac_W_total
2025-01-15 02:00:00+02:00,0.0,0.0,0.0,16.91,7.27,0.0,0.0,-12.0,0.0,16.91,0.0,0.0
2025-01-15 03:00:00+02:00,0.0,0.0,0.0,16.84,7.06,0.0,0.0,-12.0,0.0,16.84,0.0,0.0
2025-01-15 04:00:00+02:00,0.0,0.0,0.0,16.78,7.09,0.0,0.0,-12.0,0.0,16.78,0.0,0.0
2025-01-15 05:00:00+02:00,0.0,0.0,0.0,16.7,7.14,0.0,0.0,-12.0,0.0,16.7,0.0,0.0
2025-01-15 06:00:00+02:00,67.3,330.55,30.26,16.66,7.03,15.121250070139354,90.0,12.0,114.3327858013759,18.22437672471822,51.84028400412054,48.771339191076606
2025-01-15 07:00:00+02:00,262.83,712.74,67.35,16.86,6.94,47.84468272020716,90.0,12.0,733.3306672705264,26.979148819236293,319.79177996103994,300.86010658734637
2025-01-15 08:00:00+02:00,477.33,798.31,87.35,17.18,6.79,59.99999999999999,90.0,0.0,952.0390189194891,30.50574252864482,408.51863852809447,384.33433512723127
2025-01-15 09:00:00+02:00,714.55,905.8,91.37,17.71,6.63,56.075897524973264,90.0,3.0,1058.3484270919448,32.754214107508616,449.42412051850414,422.8182125838087
2025-01-15 10:00:00+02:00,886.88,966.16,86.41,18.03,6.41,43.4846154602898,89.99999879258174,3.0,1092.5878814939815,33.90039587089119,461.48422781266305,434.16436152615336
2025-01-15 11:00:00+02:00,976.3,907.17,170.55,18.28,6.18,30.204269361494276,90.0,3.0,1103.2829761164446,34.68052468391295,464.297400485636,436.8109943768863
2025-01-15 12:00:00+02:00,1057.7,812.43,220.73,18.53,6.11,16.284461853691784,90.0,3.0,1028.590646456217,33.929815644537655,434.3933372445668,408.6772516796884
2025-01-15 13:00:00+02:00,1077.28,848.77,154.55,18.58,6.14,2.011888103284371,270.0000296862879,1.0,982.1831109179583,33.23997455010266,416.13610440564247,391.50084702482843
2025-01-15 14:00:00+02:00,1023.35,940.03,147.92,18.51,6.19,17.28045436952177,270.0,2.0,1077.7926179366036,34.515331453358854,453.92275497675826,427.05052788213413
2025-01-15 15:00:00+02:00,899.9,982.91,83.45,18.4,6.24,32.12823596490881,270.0,3.0,1079.7213135087202,34.35295196196189,455.082186420281,428.1413209842004
2025-01-15 16:00:00+02:00,716.67,956.77,69.16,18.24,6.39,45.319248043537364,270.0,3.0,1062.2481079225656,33.700416430243024,449.090005721424,422.5038773827157
2025-01-15 17:00:00+02:00,495.05,926.82,54.05,18.07,6.56,56.83312733775817,270.0,2.0,1025.0133565385531,32.74020879426128,435.2969184318637,409.52734086069734
2025-01-15 18:00:00+02:00,266.27,731.87,45.15,17.88,6.83,59.99999999999999,270.0,0.0,804.9432894857777,29.103852708775268,347.63437734978817,327.0544222106807
2025-01-15 19:00:00+02:00,56.58,352.62,18.23,17.59,7.06,41.63251763599689,270.0,12.0,316.31027930966576,21.905848723839217,141.1143723679427,132.7604015237605
2025-01-15 20:00:00+02:00,0.0,0.0,0.0,17.44,7.06,0.0,0.0,-12.0,0.0,17.44,0.0,0.0
2025-01-15 21:00:00+02:00,0.0,0.0,0.0,17.42,6.81,0.0,0.0,-12.0,0.0,17.42,0.0,0.0
2025-01-15 22:00:00+02:00,0.0,0.0,0.0,17.38,6.42,0.0,0.0,-12.0,0.0,17.38,0.0,0.0
2025-01-15 23:00:00+02:00,0.0,0.0,0.0,17.33,6.25,0.0,0.0,-12.0,0.0,17.33,0.0,0.0
2025-01-16 00:00:00+02:00,0.0,0.0,0.0,17.25,6.18,0.0,0.0,-12.0,0.0,17.25,0.0,0.0
2025-01-16 01:00:00+02:00,0.0,0.0,0.0,17.15,6.04,0.0,0.0,-12.0,0.0,17.15,0.0,0.0
