local_date,bin,season,r_median,wind_median,Ta_median,ghi_day_MJm2
2024-01-08,B3: Mixed / Low-wind / Hot,Summer (DJF),0.697830441525263,2.69,33.795,19.908611999999998
2024-01-20,B3: Mixed / Low-wind / Hot,Summer (DJF),0.7146812127190915,2.63,35.125,29.866176
2024-01-23,B3: Mixed / Low-wind / Hot,Summer (DJF),0.7044243753402752,1.545,37.365,24.061463999999997
2024-01-25,B3: Mixed / Low-wind / Hot,Summer (DJF),0.7210139951487339,2.74,38.285,27.194616
2024-02-16,B4: Mixed / High-wind / Cool,Summer (DJF),0.68001029791693,4.9350000000000005,23.625,30.148379999999996
2024-02-17,B3: Mixed / Low-wind / Hot,Summer (DJF),0.7095751550850278,2.88,30.15,30.252815999999996
2024-02-18,B3: Mixed / Low-wind / Hot,Summer (DJF),0.6900809578254614,2.9349999999999996,36.105000000000004,29.592288
2024-02-19,B3: Mixed / Low-wind / Hot,Summer (DJF),0.708344784010861,2.355,38.885,29.644451999999998
2024-02-28,B3: Mixed / Low-wind / Hot,Summer (DJF),0.691901554814504,2.825,38.010000000000005,27.750959999999996
2024-02-29,B3: Mixed / Low-wind / Hot,Summer (DJF),0.7173951513006547,2.21,37.12,22.116888
2024-03-05,B4: Mixed / High-wind / Cool,Autumn (MAM),0.7549684983823494,3.47,24.9,27.288756
2024-03-11,B3: Mixed / Low-wind / Hot,Autumn (MAM),0.7377340809893914,2.3,39.68,26.89326
2024-03-12,B3: Mixed / Low-wind / Hot,Autumn (MAM),0.7333533138351196,2.3,39.01,25.191215999999997
2024-03-14,B3: Mixed / Low-wind / Hot,Autumn (MAM),0.7370029049383953,2.64,30.93,26.827811999999998
2024-03-21,B3: Mixed / Low-wind / Hot,Autumn (MAM),0.7034702928177211,1.59,30.92,17.240831999999997
2024-03-27,B4: Mixed / High-wind / Cool,Autumn (MAM),0.7122663555220008,4.904999999999999,24.125,18.07614
2024-03-30,B3: Mixed / Low-wind / Hot,Autumn (MAM),0.6950106818586433,2.83,32.84,23.354243999999998
2024-04-02,B3: Mixed / Low-wind / Hot,Autumn (MAM),0.669425980813413,2.39,31.47,21.895632
2024-04-05,B3: Mixed / Low-wind / Hot,Autumn (MAM),0.6912333362761544,2.92,30.14,21.811031999999997
2024-04-07,B4: Mixed / High-wind / Cool,Autumn (MAM),0.684816153272529,6.15,21.4,22.287996
2024-04-08,B4: Mixed / High-wind / Cool,Autumn (MAM),0.46698475192686256,5.68,18.99,16.684416000000002
2024-04-09,B4: Mixed / High-wind / Cool,Autumn (MAM),0.6896380289500355,4.865,21.064999999999998,15.638184
2024-04-10,B4: Mixed / High-wind / Cool,Autumn (MAM),0.650111590712355,3.51,24.18,21.427884
2024-04-11,B4: Mixed / High-wind / Cool,Autumn (MAM),0.6409048954420126,5.38,24.72,21.355307999999997
2024-04-21,B2: Clear / High-wind / Hot,Autumn (MAM),0.8370616195573792,8.15,33.75,18.877572
2024-04-22,B2: Clear / High-wind / Hot,Autumn (MAM),0.8238307739309132,5.53,31.48,18.085716
2024-04-23,B2: Clear / High-wind / Hot,Autumn (MAM),0.8385858091362481,5.14,32.02,18.828288
2024-04-24,B2: Clear / High-wind / Hot,Autumn (MAM),0.8376490124517525,6.13,33.87,18.21276
2024-04-25,B2: Clear / High-wind / Hot,Autumn (MAM),0.8312243788170334,3.28,32.27,18.230184
2024-04-29,B2: Clear / High-wind / Hot,Autumn (MAM),0.8223841555580459,7.09,30.16,17.217216
2024-04-30,B2: Clear / High-wind / Hot,Autumn (MAM),0.8238645051697439,5.23,31.61,16.8183
2024-05-01,B2: Clear / High-wind / Hot,Autumn (MAM),0.8133005790489559,3.02,31.96,17.056116
2024-05-02,B2: Clear / High-wind / Hot,Autumn (MAM),0.8337561189650208,6.65,31.63,17.275931999999997
2024-05-03,B2: Clear / High-wind / Hot,Autumn (MAM),0.8310834540585627,9.74,30.95,17.248932
2024-05-04,B2: Clear / High-wind / Hot,Autumn (MAM),0.83339541171764,10.11,31.17,17.130744
2024-05-05,B2: Clear / High-wind / Hot,Autumn (MAM),0.8310835958027121,6.6,29.82,16.965
2024-05-06,B2: Clear / High-wind / Hot,Autumn (MAM),0.8269234533106298,8.39,30.73,16.803432
2024-05-07,B2: Clear / High-wind / Hot,Autumn (MAM),0.8309699376063527,9.34,31.26,16.556832
2024-05-09,B2: Clear / High-wind / Hot,Autumn (MAM),0.8328722285001754,8.17,32.05,11.976263999999999
2024-05-10,B2: Clear / High-wind / Hot,Autumn (MAM),0.8066114438788863,8.39,31.28,15.658848
2024-05-15,B2: Clear / High-wind / Hot,Autumn (MAM),0.8109684063853634,5.55,29.59,15.261156
2024-05-16,B2: Clear / High-wind / Hot,Autumn (MAM),0.8219304844121265,4.98,29.22,15.586992
2024-05-17,B2: Clear / High-wind / Hot,Autumn (MAM),0.8255635284113794,4.84,29.01,15.552144
2024-05-18,B2: Clear / High-wind / Hot,Autumn (MAM),0.8114825419477989,3.85,28.81,15.265260000000001
2024-05-19,B2: Clear / High-wind / Hot,Autumn (MAM),0.8253625887696615,5.6,27.84,15.438275999999998
2024-05-20,B2: Clear / High-wind / Hot,Autumn (MAM),0.8231348266860924,6.4,29.41,15.230663999999999
2024-05-21,B2: Clear / High-wind / Hot,Autumn (MAM),0.8243481729502352,5.71,28.69,15.308675999999998
2024-05-22,B2: Clear / High-wind / Hot,Autumn (MAM),0.8172987366743111,5.98,28.44,15.097968
2024-05-23,B2: Clear / High-wind / Hot,Autumn (MAM),0.8197554405971126,5.92,27.99,14.579351999999998
2024-05-24,B2: Clear / High-wind / Hot,Autumn (MAM),0.8211380842144779,5.08,27.29,14.731848
2024-05-25,B2: Clear / High-wind / Hot,Autumn (MAM),0.8219903345953766,4.34,27.12,14.969124
2024-05-26,B2: Clear / High-wind / Hot,Autumn (MAM),0.8175922927955723,3.05,26.33,15.040187999999999
2024-05-27,B2: Clear / High-wind / Hot,Autumn (MAM),0.823141774305824,3.97,25.9,14.801832
2024-05-28,B2: Clear / High-wind / Hot,Autumn (MAM),0.8103268098042942,7.19,26.66,14.350716
2024-05-30,B4: Mixed / High-wind / Cool,Autumn (MAM),0.7078806967924407,7.36,22.85,12.408047999999999
2024-06-02,B4: Mixed / High-wind / Cool,Winter (JJA),0.7526332847188462,3.39,16.86,13.503024
2024-06-03,B4: Mixed / High-wind / Cool,Winter (JJA),0.6664021529119515,6.4,10.56,11.243915999999999
2024-06-04,B4: Mixed / High-wind / Cool,Winter (JJA),0.7823058332938444,5.79,14.9,14.301828
2024-06-06,B4: Mixed / High-wind / Cool,Winter (JJA),0.6895982009683562,5.45,9.83,9.38448
2024-06-07,B4: Mixed / High-wind / Cool,Winter (JJA),0.6302049862949023,3.86,13.18,12.543947999999999
2024-06-11,B4: Mixed / High-wind / Cool,Winter (JJA),0.741198608769531,11.27,21.38,13.163507999999998
2024-06-14,B4: Mixed / High-wind / Cool,Winter (JJA),0.7908866637643303,5.88,23.88,14.015483999999999
2024-06-15,B4: Mixed / High-wind / Cool,Winter (JJA),0.7961712726383401,4.9,23.16,14.093028
2024-06-16,B4: Mixed / High-wind / Cool,Winter (JJA),0.782314584451274,7.53,23.08,13.79412
2024-06-17,B4: Mixed / High-wind / Cool,Winter (JJA),0.7866960812158601,10.88,23.29,13.5657
2024-06-18,B4: Mixed / High-wind / Cool,Winter (JJA),0.785905157582988,3.0,18.99,13.9797
2024-06-20,B4: Mixed / High-wind / Cool,Winter (JJA),0.7931307964974184,6.64,23.78,13.955544
2024-06-21,B4: Mixed / High-wind / Cool,Winter (JJA),0.7715181874432261,8.71,23.82,13.5666
2024-06-23,B4: Mixed / High-wind / Cool,Winter (JJA),0.7948597570720792,7.65,23.66,13.560912
2024-06-24,B4: Mixed / High-wind / Cool,Winter (JJA),0.7788154264504477,6.97,22.29,13.536252000000001
2024-06-25,B4: Mixed / High-wind / Cool,Winter (JJA),0.7822780988386021,3.66,22.14,13.743936
2024-06-26,B4: Mixed / High-wind / Cool,Winter (JJA),0.776006081843869,5.32,22.18,13.731048
2024-06-27,B4: Mixed / High-wind / Cool,Winter (JJA),0.7977144300065517,6.79,21.27,13.257287999999999
2024-06-28,B4: Mixed / High-wind / Cool,Winter (JJA),0.7105371401169485,8.435,22.115000000000002,9.747684
2024-06-29,B4: Mixed / High-wind / Cool,Winter (JJA),0.6086236543194185,7.59,23.1,11.151323999999999
2024-06-30,B4: Mixed / High-wind / Cool,Winter (JJA),0.7836147171588081,8.63,24.75,11.04282
2024-07-01,B4: Mixed / High-wind / Cool,Winter (JJA),0.4980510188977155,8.21,22.28,8.058131999999999
2024-07-02,B4: Mixed / High-wind / Cool,Winter (JJA),0.7843011593404128,3.21,21.23,14.124348000000001
2024-07-03,B4: Mixed / High-wind / Cool,Winter (JJA),0.7922556123054995,5.13,18.88,14.64786
2024-07-05,B4: Mixed / High-wind / Cool,Winter (JJA),0.7870505878335529,3.8,13.21,15.001344
2024-07-06,B4: Mixed / High-wind / Cool,Winter (JJA),0.7931170227262404,6.51,17.92,15.052283999999998
2024-07-07,B4: Mixed / High-wind / Cool,Winter (JJA),0.7707555422792157,11.97,13.11,10.903896
2024-07-09,B4: Mixed / High-wind / Cool,Winter (JJA),0.7536778924245471,9.63,14.82,14.540652
2024-07-10,B4: Mixed / High-wind / Cool,Winter (JJA),0.7776294962912387,4.61,17.61,14.608872
2024-07-11,B4: Mixed / High-wind / Cool,Winter (JJA),0.7532840871875114,6.36,19.92,12.185459999999999
2024-07-12,B4: Mixed / High-wind / Cool,Winter (JJA),0.7843798391528047,4.39,17.01,14.581728
2024-07-13,B4: Mixed / High-wind / Cool,Winter (JJA),0.7669935777195314,6.19,15.96,14.540076
2024-07-16,B4: Mixed / High-wind / Cool,Winter (JJA),0.7869271723493465,5.86,21.29,14.928263999999999
2024-07-17,B4: Mixed / High-wind / Cool,Winter (JJA),0.7840221919043111,4.47,21.48,15.115212
2024-07-18,B4: Mixed / High-wind / Cool,Winter (JJA),0.7930929777714272,5.19,17.94,15.499331999999999
2024-07-19,B4: Mixed / High-wind / Cool,Winter (JJA),0.790403543013352,3.16,16.61,15.479099999999999
2024-07-23,B4: Mixed / High-wind / Cool,Winter (JJA),0.7973398190190402,5.73,23.51,15.912504
2024-07-28,B4: Mixed / High-wind / Cool,Winter (JJA),0.668576678723799,5.74,12.95,14.586587999999999
2024-07-30,B4: Mixed / High-wind / Cool,Winter (JJA),0.7946802748239588,3.59,18.61,16.2909
2024-07-31,B4: Mixed / High-wind / Cool,Winter (JJA),0.7971448481608869,6.61,18.86,16.71066
2024-08-01,B4: Mixed / High-wind / Cool,Winter (JJA),0.7588869040628495,5.1,22.11,14.549544
2024-08-04,B4: Mixed / High-wind / Cool,Winter (JJA),0.6331432272457407,8.66,15.49,11.631132
2024-08-08,B4: Mixed / High-wind / Cool,Winter (JJA),0.7077213368446773,5.71,21.509999999999998,17.246951999999997
2024-08-10,B4: Mixed / High-wind / Cool,Winter (JJA),0.7910487857296368,7.64,24.43,17.355168
2024-08-11,B4: Mixed / High-wind / Cool,Winter (JJA),0.7359171962552148,6.045,18.615000000000002,17.699796
2024-08-15,B4: Mixed / High-wind / Cool,Winter (JJA),0.7427354465781035,5.555,22.395,19.454112
2024-08-17,B4: Mixed / High-wind / Cool,Winter (JJA),0.7349760331845303,4.85,23.785,19.228896
2024-08-18,B3: Mixed / Low-wind / Hot,Winter (JJA),0.7345039762432051,2.99,25.075000000000003,19.281816
2024-08-21,B4: Mixed / High-wind / Cool,Winter (JJA),0.7192107269954247,4.355,22.955,18.786852
2024-08-24,B4: Mixed / High-wind / Cool,Winter (JJA),0.7073385710933983,5.325,20.64,18.6606
2024-08-25,B4: Mixed / High-wind / Cool,Winter (JJA),0.7451899599570271,3.825,22.405,19.688868
2024-08-27,B4: Mixed / High-wind / Cool,Winter (JJA),0.6517920120572721,7.59,20.6,20.707667999999998
2024-08-28,B4: Mixed / High-wind / Cool,Winter (JJA),0.6494707165914269,5.77,14.09,20.165472
2024-08-29,B4: Mixed / High-wind / Cool,Winter (JJA),0.6833863998180577,5.26,16.46,22.12218
2024-08-30,B4: Mixed / High-wind / Cool,Winter (JJA),0.6392101551480959,5.66,21.9,21.621492
