date_local,bin,season,r_median,wind_median,Ta_median,ghi_day_MJm2,site
2024-03-12,B1: Clear / Low-wind / Hot,Autumn (MAM),0.8061991980058524,2.9000000000000004,29.12,25.359624,NC
2024-10-11,B1: Clear / Low-wind / Hot,Spring (SON),0.8085999812416779,2.71,30.355,25.649496,NC
2024-01-04,B1: Clear / Low-wind / Hot,Summer (DJF),0.8031943938842373,2.91,31.025,29.580155999999995,NC
2024-03-09,B2: Clear / High-wind / Hot,Autumn (MAM),0.8045626648915769,3.355,26.735,27.65466,NC
2024-11-30,B2: Clear / High-wind / Hot,Spring (SON),0.8089101509941695,3.51,27.325000000000003,33.764472,NC
2024-12-17,B2: Clear / High-wind / Hot,Summer (DJF),0.8381540654510898,4.24,25.285,34.182576,NC
2024-03-21,B3: Mixed / Low-wind / Hot,Autumn (MAM),0.7478947199897538,2.25,25.165,17.31132,NC
2024-01-21,B3: Mixed / Low-wind / Hot,Summer (DJF),0.7842444971589341,2.585,29.845,30.5955,NC
2024-03-29,B4: Mixed / High-wind / Cool,Autumn (MAM),0.7958332289343789,3.22,23.315,23.712948,NC
2024-10-18,B4: Mixed / High-wind / Cool,Spring (SON),0.7817455642386373,3.955,19.3,29.059164000000003,NC
2024-02-16,B4: Mixed / High-wind / Cool,Summer (DJF),0.7975219422869424,4.805,17.85,30.24882,NC
2024-08-29,B4: Mixed / High-wind / Cool,Winter (JJA),0.7851506362519924,4.635,8.765,22.12218,NC
2024-02-03,B1: Clear / Low-wind / Hot,Summer (DJF),0.8445527710528038,2.89,29.865,23.965488,WC
2024-04-27,B2: Clear / High-wind / Hot,Autumn (MAM),0.8282620798218503,7.76,25.95,12.4407,WC
2024-03-21,B3: Mixed / Low-wind / Hot,Autumn (MAM),0.7535415648975604,2.99,30.69,22.713876,WC
2024-10-23,B3: Mixed / Low-wind / Hot,Spring (SON),0.7258310368149561,2.76,25.46,27.921456,WC
2024-01-30,B3: Mixed / Low-wind / Hot,Summer (DJF),0.7135252547646151,2.19,26.19,28.407636,WC
2024-03-02,B4: Mixed / High-wind / Cool,Autumn (MAM),0.7023472444068501,8.040000000000001,23.645000000000003,26.43372,WC
2024-11-29,B4: Mixed / High-wind / Cool,Spring (SON),0.7443843131440433,4.45,24.4,33.049476,WC
2024-12-09,B4: Mixed / High-wind / Cool,Summer (DJF),0.7359036820692031,3.66,24.76,33.711588,WC
2024-08-30,B4: Mixed / High-wind / Cool,Winter (JJA),0.7480752352136187,3.085,16.48,19.39932,WC
