offset_deg,e_day_Wh
-24,1095.6037522526212
-22,1104.585539136692
-20,1112.8233110895994
-18,1120.3239706192771
-16,1127.0943199560545
-14,1133.490646420532
-12,1148.1138494712673
-10,1168.2501859481526
-8,1187.061916656498
-6,1204.668885383739
-4,1221.0834707851625
-2,1236.0191838720266
0,1249.473544640954
2,1260.959870549044
4,1271.1768936597657
6,1280.1286371383867
8,1288.0272436357568
10,1294.9625709436177
12,1300.805733132032
14,1305.7727306381762
16,1310.2464449524298
18,1313.752021454982
20,1316.3041950795637
22,1317.9184415918578
24,1318.6108289595231
