offset_deg,e_day_Wh
-24,1583.6247051613868
-22,1593.7616291464328
-20,1603.0249127005368
-18,1611.3908873067296
-16,1618.8559877261596
-14,1626.0638460986215
-12,1632.7326113137553
-10,1638.5980060511422
-8,1643.3135242008616
-6,1646.8772238433446
-4,1649.2874652353698
-2,1650.5413987164993
0,1650.656255026125
2,1650.0170678060786
4,1648.229659990866
6,1645.5163004727228
8,1642.2630987120879
10,1638.578401830951
12,1633.9613070193614
14,1628.411473121264
16,1621.9287801588603
18,1614.73823395669
20,1607.7795415434025
22,1601.4895227101383
24,1594.5543994452364
