offset_deg,e_day_Wh
-22,1032.596128000604
-21,1040.663460187866
-20,1048.516716333254
-19,1056.1539404646942
-18,1063.5733688181388
-17,1070.7734051478337
-16,1077.7526012463584
-15,1084.5124077032583
-14,1091.0492286098722
-13,1097.6521649657266
-12,1104.1444301627803
-11,1110.379644075765
-10,1116.3569576072898
-9,1122.0756049244362
-8,1127.6807330315294
-7,1133.1427060370384
-6,1138.3119829002612
-5,1143.1880650441822
-4,1147.770518322312
-3,1152.0589697471582
-2,1156.0531044798452
-1,1159.7526630512255
0,1163.1574387904602
1,1166.0703044229117
2,1168.7387333413913
3,1171.162624286324
4,1173.3419150042214
5,1175.2765853824494
6,1176.9666570925488
7,1178.441849712394
8,1179.8952180079468
9,1181.1283768863123
10,1182.1414635035496
11,1182.9388925548733
12,1183.8637001767295
13,1184.6071110718244
14,1185.1693936207103
15,1185.5508453837729
16,1185.7517922181082
17,1185.772587450433
18,1185.61361110605
19,1185.2752691937835
20,1184.7579930467293
21,1184.0622387186309
22,1183.1884864356712
