offset_deg,e_day_Wh,e_day_kWh
-30,1603.5047187333207,1.6035047187333207
-29,1611.3276641444918,1.6113276641444918
-28,1619.553748766458,1.619553748766458
-27,1627.5108724460601,1.62751087244606
-26,1635.2003495353558,1.6352003495353558
-25,1643.1345545875974,1.6431345545875975
-24,1651.3435884161404,1.6513435884161405
-23,1659.2475083524103,1.6592475083524103
-22,1666.8478885793338,1.6668478885793339
-21,1674.1462991102208,1.6741462991102207
-20,1681.144300730578,1.681144300730578
-19,1687.8434401079808,1.6878434401079807
-18,1694.2452450722433,1.6942452450722434
-17,1700.3512200680088,1.7003512200680089
-16,1706.1628417817474,1.7061628417817474
-15,1711.6815549450116,1.7116815549450115
-14,1716.908768315682,1.716908768315682
-13,1721.8458508387696,1.7218458508387695
-12,1726.4941279882432,1.7264941279882433
-11,1731.05483042026,1.73105483042026
-10,1735.57441079392,1.73557441079392
-9,1741.4598687570535,1.7414598687570535
-8,1751.8506656196657,1.7518506656196657
-7,1761.9198979475623,1.7619198979475623
-6,1771.801307407041,1.771801307407041
-5,1781.2418814145324,1.7812418814145323
-4,1790.23643169162,1.79023643169162
-3,1798.780975987308,1.798780975987308
-2,1806.8723897187103,1.8068723897187104
-1,1814.5081820822,1.8145081820822
0,1821.6863451092358,1.8216863451092358
1,1827.8159340758175,1.8278159340758175
2,1833.552829044198,1.833552829044198
3,1838.90388212694,1.8389038821269401
4,1843.9070400397864,1.8439070400397863
5,1848.561336354877,1.8485613363548772
6,1852.8659860087141,1.8528659860087142
7,1856.8203635715613,1.8568203635715612
8,1860.423985354214,1.860423985354214
9,1863.676494458808,1.863676494458808
10,1866.5776481247167,1.8665776481247167
11,1869.1273068909588,1.8691273068909589
12,1871.3254252173351,1.871325425217335
13,1873.1720432936324,1.8731720432936325
14,1874.7940396434926,1.8747940396434926
15,1876.428162802276,1.8764281628022759
16,1877.7512359571515,1.8777512359571515
17,1878.7636020289974,1.8787636020289975
18,1879.7998277408328,1.8797998277408328
19,1880.8124099866159,1.880812409986616
20,1881.5930208004636,1.8815930208004636
21,1882.1462570949716,1.8821462570949716
22,1882.4374335237862,1.8824374335237863
23,1882.467432946261,1.882467432946261
24,1882.237184102161,1.882237184102161
25,1881.7476585431737,1.8817476585431736
26,1880.9998677855076,1.8809998677855075
27,1879.9948606732423,1.8799948606732424
28,1878.7337209441043,1.8787337209441044
29,1877.2175649909893,1.8772175649909892
30,1875.4475398138406,1.8754475398138406
