offset_deg,e_day_Wh,e_day_kWh
-30,1779.782062790322,1.779782062790322
-29,1790.2515245020918,1.7902515245020918
-28,1800.3932806055655,1.8003932806055654
-27,1810.2084411757883,1.8102084411757882
-26,1819.6981627877606,1.8196981627877606
-25,1828.8636422100228,1.8288636422100228
-24,1837.706110274702,1.837706110274702
-23,1846.2268259223158,1.8462268259223158
-22,1854.4270704203868,1.854427070420387
-21,1862.30814175549,1.8623081417554899
-20,1869.8713491988633,1.8698713491988632
-19,1877.1180080460406,1.8771180080460406
-18,1884.049434531283,1.884049434531283
-17,1890.6963227164408,1.8906963227164408
-16,1897.785411780295,1.8977854117802948
-15,1905.0688391993747,1.9050688391993746
-14,1911.9609990566055,1.9119609990566055
-13,1918.4633928883818,1.9184633928883819
-12,1924.5774834353006,1.9245774834353007
-11,1930.3046900841657,1.9303046900841656
-10,1935.6470416727377,1.9356470416727378
-9,1940.605663785665,1.940605663785665
-8,1951.0589386769543,1.9510589386769543
-7,1964.2820205689252,1.964282020568925
-6,1977.0209830519975,1.9770209830519976
-5,1989.2622750539406,1.9892622750539406
-4,2000.9961271145562,2.000996127114556
-3,2012.2152125346956,2.0122152125346955
-2,2022.9138891376906,2.0229138891376905
-1,2033.0877363784407,2.0330877363784405
0,2042.737998018152,2.042737998018152
1,2051.8789108530696,2.0518789108530697
2,2060.5205875757215,2.0605205875757213
3,2068.6700012081506,2.0686700012081505
4,2076.42595642932,2.07642595642932
5,2083.684369654661,2.083684369654661
6,2090.44446490951,2.0904444649095097
7,2096.7057205594638,2.0967057205594637
8,2102.4678383859505,2.1024678383859503
9,2107.73071788541,2.10773071788541
10,2112.1677003448085,2.1121677003448087
11,2115.7016814864173,2.115701681486417
12,2118.789759277627,2.118789759277627
13,2121.739357231127,2.121739357231127
14,2124.8626201841225,2.1248626201841225
15,2127.7296618470273,2.1277296618470274
16,2130.233484617406,2.130233484617406
17,2132.375027893353,2.132375027893353
18,2134.1553418793746,2.134155341879375
19,2135.575579661449,2.135575579661449
20,2136.6369898295075,2.1366369898295074
21,2137.340909583647,2.1373409095836466
22,2137.688758274043,2.137688758274043
23,2137.6820313353487,2.137682031335349
24,2137.3222945850453,2.1373222945850454
25,2136.6111788621656,2.136611178862166
26,2135.5503749884456,2.1355503749884455
27,2134.141629038493,2.1341416290384934
28,2133.4106841692847,2.133410684169285
29,2133.580011554753,2.133580011554753
30,2133.4944308726476,2.1334944308726476
