offset_deg,e_day_Wh
-22,1413.4045459848678
-21,1421.232380514172
-20,1428.8013423683833
-19,1436.1101052638776
-18,1443.1577681417525
-17,1449.9446976956901
-16,1456.4713055367909
-15,1462.738037465557
-14,1468.7453641529164
-13,1474.4937729526741
-12,1479.9837606372748
-11,1485.215826898905
-10,1490.1904684946649
-9,1495.1047313775207
-8,1499.827573362899
-7,1504.3213827185662
-6,1508.6633887476446
-5,1512.6925164412887
-4,1516.4093387244052
-3,1519.8143647079844
-2,1522.9080365680804
-1,1525.6907267266588
0,1528.162735321303
1,1530.24274954248
2,1532.0525997144991
3,1533.5922393222095
4,1534.8615467335685
5,1536.1088120310765
6,1537.13738896736
7,1538.0707147988678
8,1538.805752718085
9,1539.3200201500233
10,1539.6130376463414
11,1539.6842651273905
12,1539.533102028693
13,1539.15888761198
14,1538.5609014438187
15,1537.7383640436583
16,1536.690437702446
17,1535.4162274725727
18,1533.9147823296485
19,1532.5578690241557
20,1531.2031815836817
21,1529.9283970952097
22,1528.7786489932907
