site,date,bin,E0_kWh,E_policyB4_kWh,E_idealBin_kWh,theta_B4_deg,theta_bin_deg
NC,2024-03-12,B1,1.5230562832462402,1.5230562832462402,1.5344898342317497,18.0,11.0
NC,2024-10-11,B1,1.6716877521760993,1.6716877521760993,1.6886902269887003,18.0,11.0
NC,2024-01-04,B1,1.7835146185239732,1.7835146185239732,1.79458695864323,18.0,11.0
NC,2024-03-09,B2,1.702161300368191,1.702161300368191,1.705925719400754,18.0,18.0
NC,2024-11-30,B2,2.0474633459988127,2.0474633459988127,2.110968559130286,18.0,18.0
NC,2024-12-17,B2,2.173315713711052,2.173315713711052,2.2101811777368874,18.0,18.0
NC,2024-03-21,B3,1.074312109973889,1.074312109973889,1.075390519756161,18.0,8.0
NC,2024-01-21,B3,1.8698591743824977,1.8698591743824977,1.8848082638202606,18.0,8.0
NC,2024-03-29,B4,1.624072031804751,1.6536870662340588,1.6536870662340588,18.0,18.0
NC,2024-10-18,B4,2.035988667630201,2.050163111277141,2.050163111277141,18.0,18.0
NC,2024-02-16,B4,2.1450772366759305,2.193834068963456,2.193834068963456,18.0,18.0
NC,2024-08-29,B4,1.8216863451092358,1.8797998277408328,1.8797998277408328,18.0,18.0
WC,2024-02-03,B1,1.6101225601736493,1.6101225601736493,1.6220594422113284,17.0,11.0
WC,2024-04-27,B2,1.015614257018097,1.015614257018097,1.0188227450524803,17.0,8.0
WC,2024-03-21,B3,1.54433895518187,1.54433895518187,1.5535144096524287,17.0,9.0
WC,2024-10-23,B3,1.9045625046453223,1.9045625046453223,1.9079015105347539,17.0,9.0
WC,2024-01-30,B3,1.886511357188509,1.886511357188509,1.8999312424077326,17.0,9.0
WC,2024-03-02,B4,2.042737998018152,2.132375027893353,2.132375027893353,17.0,17.0
WC,2024-11-29,B4,2.2709579502362356,2.296631350305259,2.296631350305259,17.0,17.0
WC,2024-12-09,B4,2.297724533418521,2.3091080634838237,2.3091080634838237,17.0,17.0
WC,2024-08-30,B4,1.5943067354174327,1.6402625503541652,1.6402625503541652,17.0,17.0
