month,month_name,top_bin,top_count,total_days,pct
1,January,clear,26,31,83.87096774193549
2,February,clear,20,29,68.96551724137932
3,March,clear,22,31,70.96774193548387
4,April,clear,18,30,60.0
5,May,clear,21,31,67.74193548387096
6,June,clear,16,30,53.333333333333336
7,July,partly_cloudy,14,31,45.16129032258065
8,August,clear,14,31,45.16129032258065
9,September,clear,18,30,60.0
10,October,clear,23,31,74.19354838709677
11,November,clear,19,30,63.333333333333336
12,December,clear,21,31,67.74193548387096
