month,month_name,clear,mostly_clear,partly_cloudy,cloudy,Total
1,January,80.6%,16.1%,3.2%,0.0%,100.0%
2,February,82.1%,10.7%,7.1%,0.0%,100.0%
3,March,48.4%,29.0%,22.6%,0.0%,100.0%
4,April,46.7%,33.3%,13.3%,6.7%,100.0%
5,May,67.7%,16.1%,12.9%,3.2%,100.0%
6,June,13.3%,40.0%,36.7%,10.0%,100.0%
7,July,51.6%,19.4%,29.0%,0.0%,100.0%
8,August,51.6%,32.3%,9.7%,6.5%,100.0%
9,September,30.0%,40.0%,23.3%,6.7%,100.0%
10,October,77.4%,12.9%,9.7%,0.0%,100.0%
11,November,50.0%,36.7%,10.0%,3.3%,100.0%
12,December,87.1%,12.9%,0.0%,0.0%,100.0%
