month,month_name,dominant_bin,scheduled_gain_pct,default_angle_deg,default_only_gain_pct
1,January,clear,1.7110828513355112,14.0,1.7055962296289477
2,February,clear,1.6742205273141955,14.0,1.6683909917509716
3,March,clear,1.6373407098257104,14.0,1.6332225198266286
4,April,clear,1.5273884414410985,14.0,1.511653943806428
5,May,clear,1.5550228643304878,14.0,1.5329049205759038
6,June,clear,1.388045872663082,14.0,1.3551656821954006
7,July,partly_cloudy,1.0118422470119284,8.0,0.8502677631077652
8,August,clear,1.3811612271379403,14.0,1.349267014749381
9,September,clear,1.405078004946687,14.0,1.3721978144790057
10,October,clear,1.5652303065696163,14.0,1.5499674162290773
11,November,clear,1.5803297427741163,14.0,1.5631840499411056
12,December,clear,1.6281619192864583,14.0,1.6240437292873764
