date,site,policy,clip_kWh_day,ac_kWh_day
2024-01-01,NC,offpoint,10557.139999999996,117487.80039999998
2024-01-02,NC,offpoint,11283.850399999992,116988.3976
2024-01-03,NC,offpoint,7638.552399999995,106829.56760000001
2024-01-04,NC,offpoint,5878.685999999998,109483.92240000001
2024-01-05,NC,offpoint,5947.060799999999,103006.0068
2024-01-06,NC,offpoint,9961.563200000002,117037.5376
2024-01-07,NC,offpoint,6611.759600000003,115305.2824
2024-01-08,NC,offpoint,0.0,78506.6256
2024-01-09,NC,offpoint,4116.385200000004,97490.53319999999
2024-01-10,NC,offpoint,3703.7947999999997,113155.8988
2024-01-11,NC,offpoint,10504.490000000002,116426.93800000001
2024-01-12,NC,offpoint,11432.955199999999,117077.9728
2024-01-13,NC,offpoint,10050.5768,116072.8492
2024-01-14,NC,offpoint,11069.319199999996,116885.20360000001
2024-01-15,NC,offpoint,11075.0756,117008.7556
2024-01-16,NC,offpoint,10661.316799999997,116683.0276
2024-01-17,NC,offpoint,12128.0756,117704.8588
2024-01-18,NC,offpoint,12535.937600000001,117964.1776
2024-01-19,NC,offpoint,1658.9640000000018,108905.75520000001
2024-01-20,NC,offpoint,6777.291199999996,110781.454
2024-01-21,NC,offpoint,8919.233599999998,110403.2164
2024-01-22,NC,offpoint,0.0,92578.7772
2024-01-23,NC,offpoint,0.0,94595.904
2024-01-24,NC,offpoint,5169.618400000001,106925.18
2024-01-25,NC,offpoint,2905.996799999997,104055.4968
2024-01-26,NC,offpoint,0.0,57334.3056
2024-01-27,NC,offpoint,6208.7664,103116.64199999999
2024-01-28,NC,offpoint,6432.985199999999,104179.47
2024-01-29,NC,offpoint,1655.922800000002,100157.3836
2024-01-30,NC,offpoint,0.0,78034.17959999999
2024-01-31,NC,offpoint,0.0,79026.6672
2024-02-01,NC,offpoint,3077.9867999999988,103965.2196
2024-02-02,NC,offpoint,0.0,29966.1336
2024-02-03,NC,offpoint,2031.8664000000008,94044.4152
2024-02-04,NC,offpoint,3637.901999999998,104774.90639999999
2024-02-05,NC,offpoint,9148.225999999995,112614.5164
2024-02-06,NC,offpoint,8883.571999999996,111865.48240000001
2024-02-07,NC,offpoint,1795.0591999999979,95201.54439999998
2024-02-08,NC,offpoint,6924.289999999994,108436.91440000001
2024-02-09,NC,offpoint,7651.4692,109584.0752
2024-02-10,NC,offpoint,11113.264399999998,112456.0048
2024-02-11,NC,offpoint,9828.183199999994,111621.3268
2024-02-12,NC,offpoint,2840.898799999999,97987.08039999999
2024-02-13,NC,offpoint,7270.283199999998,107675.618
2024-02-14,NC,offpoint,8333.6252,108501.49840000001
2024-02-15,NC,offpoint,6707.8408,104992.574
2024-02-16,NC,offpoint,9907.088000000002,108063.31
2024-02-17,NC,offpoint,9612.949999999997,108746.7772
2024-02-18,NC,offpoint,8888.626399999996,106880.72080000001
2024-02-19,NC,offpoint,7775.301999999994,108154.24160000001
2024-02-20,NC,offpoint,5618.8984,101757.05600000001
2024-02-21,NC,offpoint,5933.253999999997,103970.0408
2024-02-22,NC,offpoint,7046.906799999995,106646.2052
2024-02-23,NC,offpoint,2871.8796,87618.30720000001
2024-02-24,NC,offpoint,3194.7519999999968,101728.1336
2024-02-25,NC,offpoint,6865.088799999996,106151.8568
2024-02-26,NC,offpoint,7418.405199999994,106907.7704
2024-02-27,NC,offpoint,6797.415999999997,105969.1964
2024-02-28,NC,offpoint,5011.808799999999,103395.94520000002
2024-02-29,NC,offpoint,0.0,87080.5728
2024-03-01,NC,offpoint,3595.8748000000032,101403.10759999999
2024-03-02,NC,offpoint,2168.3827999999994,95374.09599999999
2024-03-03,NC,offpoint,0.0,60557.46839999999
2024-03-04,NC,offpoint,1836.3367999999991,83551.15239999999
2024-03-05,NC,offpoint,5255.543199999998,102451.334
2024-03-06,NC,offpoint,5676.602799999997,104445.2948
2024-03-07,NC,offpoint,4634.132799999999,102727.64119999998
2024-03-08,NC,offpoint,4862.704,102792.9272
2024-03-09,NC,offpoint,4874.778399999999,102978.39559999999
2024-03-10,NC,offpoint,4373.971600000001,102314.3036
2024-03-11,NC,offpoint,4023.111999999999,101728.5548
2024-03-12,NC,offpoint,2625.196799999998,96277.33679999999
2024-03-13,NC,offpoint,2317.627999999999,93610.8124
2024-03-14,NC,offpoint,3998.261200000001,101404.5116
2024-03-15,NC,offpoint,3690.1307999999954,100418.57519999999
2024-03-16,NC,offpoint,2737.236000000001,98569.3668
2024-03-17,NC,offpoint,2423.442000000001,98003.6952
2024-03-18,NC,offpoint,1803.1547999999984,96290.394
2024-03-19,NC,offpoint,0.0,75796.9056
2024-03-20,NC,offpoint,0.0,37033.7292
2024-03-21,NC,offpoint,0.0,67514.14799999999
2024-03-22,NC,offpoint,0.0,82495.81079999999
2024-03-23,NC,offpoint,0.0,70395.0156
2024-03-24,NC,offpoint,25.364800000001196,85397.084
2024-03-25,NC,offpoint,0.0,71436.924
2024-03-26,NC,offpoint,0.0,75401.3988
2024-03-27,NC,offpoint,0.0,71750.2968
2024-03-28,NC,offpoint,346.41199999999844,91531.0672
2024-03-29,NC,offpoint,459.85519999999815,92020.642
2024-03-30,NC,offpoint,307.5687999999991,90945.97279999999
2024-03-31,NC,offpoint,0.0,78077.14199999999
2024-04-01,NC,offpoint,0.0,60957.1872
2024-04-02,NC,offpoint,0.0,85507.81199999999
2024-04-03,NC,offpoint,0.0,75133.2348
2024-04-04,NC,offpoint,0.0,80971.34760000001
2024-04-05,NC,offpoint,0.0,85159.62
2024-04-06,NC,offpoint,0.0,82519.9596
2024-04-07,NC,offpoint,0.0,86998.2984
2024-04-08,NC,offpoint,0.0,65124.25920000001
2024-04-09,NC,offpoint,0.0,62151.8508
2024-04-10,NC,offpoint,0.0,83568.7476
2024-04-11,NC,offpoint,0.0,83285.70120000001
2024-04-12,NC,offpoint,0.0,82083.5964
2024-04-13,NC,offpoint,0.0,74099.0484
2024-04-14,NC,offpoint,0.0,77292.1656
2024-04-15,NC,offpoint,0.0,79415.154
2024-04-16,NC,offpoint,0.0,76289.85
2024-04-17,NC,offpoint,0.0,76322.00159999999
2024-04-18,NC,offpoint,0.0,77225.1948
2024-04-19,NC,offpoint,0.0,74377.1808
2024-04-20,NC,offpoint,0.0,75967.4916
2024-04-21,NC,offpoint,0.0,75794.238
2024-04-22,NC,offpoint,0.0,72575.0064
2024-04-23,NC,offpoint,0.0,75662.96399999999
2024-04-24,NC,offpoint,0.0,73111.7556
2024-04-25,NC,offpoint,0.0,73096.3116
2024-04-26,NC,offpoint,0.0,71518.07519999999
2024-04-27,NC,offpoint,0.0,35707.510800000004
2024-04-28,NC,offpoint,0.0,45056.8872
2024-04-29,NC,offpoint,0.0,68782.1004
2024-04-30,NC,offpoint,0.0,67087.332
2024-05-01,NC,offpoint,0.0,68038.68239999999
2024-05-02,NC,offpoint,0.0,68946.3684
2024-05-03,NC,offpoint,0.0,68813.40959999998
2024-05-04,NC,offpoint,0.0,68288.8752
2024-05-05,NC,offpoint,0.0,67575.924
2024-05-06,NC,offpoint,0.0,66887.5428
2024-05-07,NC,offpoint,0.0,65845.7748
2024-05-08,NC,offpoint,0.0,59686.2864
2024-05-09,NC,offpoint,0.0,47661.0264
2024-05-10,NC,offpoint,0.0,62125.03439999999
2024-05-11,NC,offpoint,0.0,67312.2528
2024-05-12,NC,offpoint,0.0,63696.672
2024-05-13,NC,offpoint,0.0,49274.3628
2024-05-14,NC,offpoint,0.0,49327.1532
2024-05-15,NC,offpoint,0.0,60450.2028
2024-05-16,NC,offpoint,0.0,61748.902799999996
2024-05-17,NC,offpoint,0.0,61568.48879999999
2024-05-18,NC,offpoint,0.0,60378.5988
2024-05-19,NC,offpoint,0.0,61077.650400000006
2024-05-20,NC,offpoint,0.0,60222.614400000006
2024-05-21,NC,offpoint,0.0,60523.0704
2024-05-22,NC,offpoint,0.0,59650.063200000004
2024-05-23,NC,offpoint,0.0,57553.6104
2024-05-24,NC,offpoint,0.0,58167.1584
2024-05-25,NC,offpoint,0.0,59105.1708
2024-05-26,NC,offpoint,0.0,59380.07399999999
2024-05-27,NC,offpoint,0.0,58405.698000000004
2024-05-28,NC,offpoint,0.0,56567.30039999999
2024-05-29,NC,offpoint,0.0,55511.0712
2024-05-30,NC,offpoint,0.0,48888.683999999994
2024-05-31,NC,offpoint,0.0,51949.82519999999
2024-06-01,NC,offpoint,0.0,57206.260800000004
2024-06-02,NC,offpoint,0.0,53184.3624
2024-06-03,NC,offpoint,0.0,44364.7152
2024-06-04,NC,offpoint,0.0,56392.5024
2024-06-05,NC,offpoint,0.0,57999.8016
2024-06-06,NC,offpoint,0.0,37085.3964
2024-06-07,NC,offpoint,0.0,49501.2492
2024-06-08,NC,offpoint,0.0,58269.51
2024-06-09,NC,offpoint,0.0,56577.69
2024-06-10,NC,offpoint,0.0,53337.1176
2024-06-11,NC,offpoint,0.0,51783.451199999996
2024-06-12,NC,offpoint,0.0,53761.1256
2024-06-13,NC,offpoint,0.0,55222.970400000006
2024-06-14,NC,offpoint,0.0,55179.8676
2024-06-15,NC,offpoint,0.0,55487.203199999996
2024-06-16,NC,offpoint,0.0,54288.0468
2024-06-17,NC,offpoint,0.0,53359.020000000004
2024-06-18,NC,offpoint,0.0,55010.123999999996
2024-06-19,NC,offpoint,0.0,55531.148400000005
2024-06-20,NC,offpoint,0.0,54924.9012
2024-06-21,NC,offpoint,0.0,53395.524
2024-06-22,NC,offpoint,0.0,53770.6728
2024-06-23,NC,offpoint,0.0,53361.26639999999
2024-06-24,NC,offpoint,0.0,53272.9548
2024-06-25,NC,offpoint,0.0,54117.7416
2024-06-26,NC,offpoint,0.0,54052.315200000005
2024-06-27,NC,offpoint,0.0,52178.3964
2024-06-28,NC,offpoint,0.0,39494.239199999996
2024-06-29,NC,offpoint,0.0,43901.535599999996
2024-06-30,NC,offpoint,0.0,43437.9348
2024-07-01,NC,offpoint,0.0,31747.3884
2024-07-02,NC,offpoint,0.0,55663.966799999995
2024-07-03,NC,offpoint,0.0,57809.7
2024-07-04,NC,offpoint,0.0,56560.14
2024-07-05,NC,offpoint,0.0,59237.98919999999
2024-07-06,NC,offpoint,0.0,59378.248799999994
2024-07-07,NC,offpoint,0.0,42962.2596
2024-07-08,NC,offpoint,0.0,43668.8928
2024-07-09,NC,offpoint,0.0,57417.56280000001
2024-07-10,NC,offpoint,0.0,57655.26
2024-07-11,NC,offpoint,0.0,48095.002799999995
2024-07-12,NC,offpoint,0.0,57610.75320000001
2024-07-13,NC,offpoint,0.0,57452.5224
2024-07-14,NC,offpoint,0.0,58933.88279999999
2024-07-15,NC,offpoint,0.0,57999.5208
2024-07-16,NC,offpoint,0.0,59046.2028
2024-07-17,NC,offpoint,0.0,59797.3428
2024-07-18,NC,offpoint,0.0,61386.67079999999
2024-07-19,NC,offpoint,0.0,61331.9148
2024-07-20,NC,offpoint,0.0,62858.0628
2024-07-21,NC,offpoint,0.0,59830.4772
2024-07-22,NC,offpoint,0.0,61840.4436
2024-07-23,NC,offpoint,0.0,63101.6568
2024-07-24,NC,offpoint,0.0,61869.7872
2024-07-25,NC,offpoint,0.0,64365.5376
2024-07-26,NC,offpoint,0.0,65389.7556
2024-07-27,NC,offpoint,0.0,65227.73399999999
2024-07-28,NC,offpoint,0.0,58146.379199999996
2024-07-29,NC,offpoint,0.0,65873.8548
2024-07-30,NC,offpoint,0.0,64819.872
2024-07-31,NC,offpoint,0.0,66516.18480000002
2024-08-01,NC,offpoint,0.0,57769.8264
2024-08-02,NC,offpoint,0.0,67567.0788
2024-08-03,NC,offpoint,0.0,59025.283200000005
2024-08-04,NC,offpoint,0.0,46260.957599999994
2024-08-05,NC,offpoint,0.0,69959.21399999999
2024-08-06,NC,offpoint,0.0,70468.86600000001
2024-08-07,NC,offpoint,0.0,65267.046
2024-08-08,NC,offpoint,0.0,67670.2728
2024-08-09,NC,offpoint,0.0,68117.4468
2024-08-10,NC,offpoint,0.0,69206.1084
2024-08-11,NC,offpoint,0.0,69539.2776
2024-08-12,NC,offpoint,0.0,70465.91759999999
2024-08-13,NC,offpoint,0.0,71277.4296
2024-08-14,NC,offpoint,0.0,73579.1472
2024-08-15,NC,offpoint,0.0,76609.26
2024-08-16,NC,offpoint,0.0,75665.35080000001
2024-08-17,NC,offpoint,0.0,75707.0496
2024-08-18,NC,offpoint,0.0,75953.03039999999
2024-08-19,NC,offpoint,0.0,74941.1676
2024-08-20,NC,offpoint,0.0,74887.6752
2024-08-21,NC,offpoint,0.0,74022.67079999999
2024-08-22,NC,offpoint,0.0,77887.1808
2024-08-23,NC,offpoint,0.0,76814.66519999999
2024-08-24,NC,offpoint,0.0,73597.68
2024-08-25,NC,offpoint,0.0,77825.9664
