time,site,date,pac_base_W,pac_opt_W,tc_base_C,tc_opt_C,delta_W,hour_local
2024-01-04 00:00:00+02:00,NC,2024-01-04,0.0,0.0,27.95,27.95,0.0,0
2024-01-04 01:00:00+02:00,NC,2024-01-04,0.0,0.0,26.7,26.7,0.0,1
2024-01-04 02:00:00+02:00,NC,2024-01-04,-0.0,-0.0,25.47,25.47,0.0,2
2024-01-04 03:00:00+02:00,NC,2024-01-04,0.0,0.0,24.53,24.53,0.0,3
2024-01-04 04:00:00+02:00,NC,2024-01-04,-0.0,-0.0,23.88,23.88,0.0,4
2024-01-04 05:00:00+02:00,NC,2024-01-04,0.0,0.0,23.41,23.41,0.0,5
2024-01-04 06:00:00+02:00,NC,2024-01-04,-0.0,-0.0,22.98,22.98,0.0,6
2024-01-04 07:00:00+02:00,NC,2024-01-04,27.259921968284356,26.694175037678438,28.114223366929224,28.050128164736932,-0.5657469306059184,7
2024-01-04 08:00:00+02:00,NC,2024-01-04,94.38151457644184,94.38151457644184,39.799583059817735,39.799583059817735,0.0,8
2024-01-04 09:00:00+02:00,NC,2024-01-04,138.22566245494366,136.86805154484105,51.075596765972705,50.82734759403452,-1.3576109101026077,9
2024-01-04 10:00:00+02:00,NC,2024-01-04,157.921208134509,156.98943364999263,55.80146637536649,55.6132492393094,-0.9317744845163531,10
2024-01-04 11:00:00+02:00,NC,2024-01-04,167.63337801077859,166.79338709650602,57.75602649370087,57.587448003042056,-0.8399909142725619,11
2024-01-04 12:00:00+02:00,NC,2024-01-04,174.00016200044553,172.95734593629692,58.501585168034374,58.303286047623175,-1.0428160641486102,12
2024-01-04 13:00:00+02:00,NC,2024-01-04,177.89380721644028,176.75315270547438,58.92671914542963,58.720474449333416,-1.140654510965902,13
2024-01-04 14:00:00+02:00,NC,2024-01-04,157.61710697918102,156.5213239092868,55.338594813552206,55.181147912047,-1.0957830698942246,14
2024-01-04 15:00:00+02:00,NC,2024-01-04,166.95716922738532,166.12850503673064,55.956560079889755,55.8373033452511,-0.8286641906546777,15
2024-01-04 16:00:00+02:00,NC,2024-01-04,167.6817586972523,166.83350440896345,54.92210447972863,54.80417325756815,-0.8482542882888424,16
2024-01-04 17:00:00+02:00,NC,2024-01-04,160.49211169846572,160.48682012702005,53.22297191907816,53.222265949955045,-0.005291571445667387,17
2024-01-04 18:00:00+02:00,NC,2024-01-04,121.50298198240885,121.50298198240885,47.98317407590257,47.98317407590257,0.0,18
2024-01-04 19:00:00+02:00,NC,2024-01-04,71.94783557743696,92.06874615117644,41.981659430492094,43.99337867429218,20.12091057373948,19
2024-01-04 20:00:00+02:00,NC,2024-01-04,0.0,0.0016673264643455748,31.98,31.980333256874975,0.0016673264643455748,20
2024-01-04 21:00:00+02:00,NC,2024-01-04,0.0,0.0,30.07,30.07,0.0,21
2024-01-04 22:00:00+02:00,NC,2024-01-04,0.0,0.0,29.05,29.05,0.0,22
2024-01-04 23:00:00+02:00,NC,2024-01-04,0.0,0.0,28.06,28.06,0.0,23
2024-01-21 00:00:00+02:00,NC,2024-01-21,-0.0,-0.0,28.91,28.91,0.0,0
2024-01-21 01:00:00+02:00,NC,2024-01-21,0.0,0.0,27.78,27.78,0.0,1
2024-01-21 02:00:00+02:00,NC,2024-01-21,0.0,0.0,27.15,27.15,0.0,2
2024-01-21 03:00:00+02:00,NC,2024-01-21,0.0,0.0,26.35,26.35,0.0,3
2024-01-21 04:00:00+02:00,NC,2024-01-21,0.0,0.0,25.27,25.27,0.0,4
2024-01-21 05:00:00+02:00,NC,2024-01-21,-0.0,-0.0,23.88,23.88,0.0,5
2024-01-21 06:00:00+02:00,NC,2024-01-21,0.0,0.0,22.77,22.77,0.0,6
2024-01-21 07:00:00+02:00,NC,2024-01-21,12.00685759407868,11.57530299680836,25.388311415102613,25.32892431124536,-0.43155459727032053,7
2024-01-21 08:00:00+02:00,NC,2024-01-21,66.37288797766496,66.37288797766496,34.46224903348495,34.46224903348495,0.0,8
2024-01-21 09:00:00+02:00,NC,2024-01-21,125.08037226608127,123.29075892277694,42.336304462475084,42.12741742346603,-1.7896133433043246,9
2024-01-21 10:00:00+02:00,NC,2024-01-21,160.0201213023032,158.02981292135357,47.88787009690444,47.63366689206432,-1.9903083809496422,10
2024-01-21 11:00:00+02:00,NC,2024-01-21,173.89494646527814,172.271645596969,51.787401428041136,51.55681066805174,-1.623300868309144,11
2024-01-21 12:00:00+02:00,NC,2024-01-21,177.85936892580133,176.1364547167395,54.60260249589425,54.3351801393861,-1.7229142090618268,12
2024-01-21 13:00:00+02:00,NC,2024-01-21,180.04994386878232,178.22270395857794,56.87338934072376,56.565741153004694,-1.8272399102043835,13
2024-01-21 14:00:00+02:00,NC,2024-01-21,180.15936071530734,178.6941769904478,58.62561894174158,58.35933959163363,-1.4651837248595427,14
2024-01-21 15:00:00+02:00,NC,2024-01-21,182.70894949242785,181.50692741376974,60.533823651794606,60.29157088183263,-1.2020220786581035,15
2024-01-21 16:00:00+02:00,NC,2024-01-21,176.00305068091842,174.78551146937582,60.198088369347985,59.95174972778732,-1.2175392115426007,16
2024-01-21 17:00:00+02:00,NC,2024-01-21,175.5686089370657,175.60609267090769,60.74038497817115,60.748555913310014,0.03748373384198089,17
2024-01-21 18:00:00+02:00,NC,2024-01-21,166.91278538296186,166.91278538296186,58.82325975614698,58.82325975614698,0.0,18
2024-01-21 19:00:00+02:00,NC,2024-01-21,93.22192077382668,122.88961692396808,46.296940687565844,50.915984915426066,29.667696150141396,19
2024-01-21 20:00:00+02:00,NC,2024-01-21,0.0,0.0031190012469991648,31.11,31.110667895437924,0.0031190012469991648,20
2024-01-21 21:00:00+02:00,NC,2024-01-21,-0.0,-0.0,29.62,29.62,0.0,21
2024-01-21 22:00:00+02:00,NC,2024-01-21,0.0,0.0,28.59,28.59,0.0,22
2024-01-21 23:00:00+02:00,NC,2024-01-21,0.0,0.0,27.59,27.59,0.0,23
2024-02-16 00:00:00+02:00,NC,2024-02-16,0.0,0.0,17.48,17.48,0.0,0
2024-02-16 01:00:00+02:00,NC,2024-02-16,0.0,0.0,15.88,15.88,0.0,1
2024-02-16 02:00:00+02:00,NC,2024-02-16,0.0,0.0,14.83,14.83,0.0,2
2024-02-16 03:00:00+02:00,NC,2024-02-16,0.0,0.0,13.86,13.86,0.0,3
2024-02-16 04:00:00+02:00,NC,2024-02-16,0.0,0.0,12.95,12.95,0.0,4
2024-02-16 05:00:00+02:00,NC,2024-02-16,0.0,0.0,12.14,12.14,0.0,5
2024-02-16 06:00:00+02:00,NC,2024-02-16,0.0,0.0,11.42,11.42,0.0,6
2024-02-16 07:00:00+02:00,NC,2024-02-16,6.769065067298986,6.544591643575537,11.932150605727857,11.91450521350934,-0.22447342372344892,7
2024-02-16 08:00:00+02:00,NC,2024-02-16,91.67301931502993,91.67301931502993,20.29371270337649,20.29371270337649,0.0,8
