date_utc,date_local,weather_bin,E_scada_kWh,E_sim_kWh,error_Wh
2017-03-26,2017-03-26,,453.937,1673.0623568904734,1219125
2017-03-28,2017-03-28,,272.141,664.4081696546543,392267
2017-03-30,2017-03-30,,1440.596,982.7968028103872,-457799
2017-04-03,2017-04-03,,2724.769,2142.955791159301,-581813
2017-04-05,2017-04-05,,2455.236,2528.0169919362315,72781
2017-04-07,2017-04-07,,2064.094,2227.628127601813,163534
2017-04-09,2017-04-09,,3005.413,3207.6818915496847,202269
2017-04-11,2017-04-11,,2251.319,2791.881303893046,540562
2017-04-14,2017-04-14,,2600.893,2117.4124204593404,-483481
2017-04-16,2017-04-16,,2581.753,2043.6368991665377,-538116
2017-04-17,2017-04-17,,2063.687,2291.9617342469605,228275
2017-04-30,2017-04-30,,2842.43,3418.690741399594,576261
2017-05-01,2017-05-01,,3063.538,2384.063969617522,-679474
2017-05-05,2017-05-05,,3180.318,3144.7628197562985,-35555
2017-05-08,2017-05-08,,1208.969,962.9042060053508,-246065
2017-05-13,2017-05-13,,2949.393,3305.444488053912,356051
2017-05-16,2017-05-16,,1893.162,1649.343891019849,-243818
2017-05-19,2017-05-19,,854.9,2255.152956868661,1400253
2017-05-24,2017-05-24,,3374.322,3597.003699595273,222682
2017-05-29,2017-05-29,,2358.233,2854.1440590343286,495911
2017-05-31,2017-05-31,,2654.108,2315.1360845988834,-338972
2017-06-02,2017-06-02,,2121.037,3167.9539903243085,1046917
2017-06-04,2017-06-04,,3232.185,2860.56636970137,-371619
2017-06-05,2017-06-05,,1556.363,2046.27746504626,489914
2017-06-10,2017-06-10,,2790.53,2354.847440560176,-435683
2017-06-14,2017-06-14,,2847.423,2634.9456989667788,-212477
2017-06-15,2017-06-15,,2838.417,1916.8031975002652,-921614
2017-06-19,2017-06-19,,3045.833,2812.145718119,-233687
2017-07-01,2017-07-01,,3230.428,2549.0274327284646,-681401
2017-07-03,2017-07-03,,2344.347,2711.8016169817747,367455
2017-07-04,2017-07-04,,2496.342,2834.1003040630753,337758
2017-07-12,2017-07-12,,616.777,1231.9050184289854,615128
2017-07-16,2017-07-16,,2870.448,2832.0553123155228,-38393
2017-07-19,2017-07-19,,1927.898,1583.1077049342396,-344790
2017-07-22,2017-07-22,,2073.828,2092.7236436857534,18896
2017-08-02,2017-08-02,,2455.942,2132.963883809244,-322978
2017-08-06,2017-08-06,,1217.067,1523.3507484168065,306284
2017-08-12,2017-08-12,,2218.658,1936.1696412171818,-282488
2017-08-16,2017-08-16,,2152.895,2323.2372038787807,170342
2017-08-18,2017-08-18,,2748.042,1659.1892084552862,-1088853
2017-08-24,2017-08-24,,1476.125,1188.567204662389,-287558
2017-08-25,2017-08-25,,2530.32,2077.471692487824,-452848
2017-08-27,2017-08-27,,2492.062,2247.932679371021,-244129
2017-08-29,2017-08-29,,2342.352,2198.395176773013,-143957
2017-09-01,2017-09-01,,2164.667,2515.5156355740214,350849
2017-09-03,2017-09-03,,2447.115,2012.0063903845835,-435109
2017-09-06,2017-09-06,,2287.998,2386.24954819019,98252
2017-09-10,2017-09-10,,1709.638,945.0043921559294,-764634
2017-09-12,2017-09-12,,1966.579,1804.571235538869,-162008
2017-09-17,2017-09-17,,1756.198,1362.1804255980153,-394018
2017-09-18,2017-09-18,,2451.842,1958.855830903898,-492986
2017-09-19,2017-09-19,,2069.888,2234.9633726465363,165075
2017-09-20,2017-09-20,,2400.223,2062.149582591225,-338073
2017-09-29,2017-09-29,,1087.686,1220.14901271621,132463
2017-10-31,2017-10-31,,964.95,760.410255722116,-204540
2017-11-02,2017-11-02,,962.406,1112.2606516709027,149855
2017-11-08,2017-11-08,,1101.62,1037.0243334821207,-64596
2017-11-21,2017-11-21,,0.0,380.70105791699905,380701
