deg,E_kWh
-24,1.36041689614568
-22,1.3683937941112674
-20,1.375650982820122
-18,1.3821915415946373
-16,1.3886732557991361
-14,1.3946743466073532
-12,1.399856156675623
-10,1.4083954628853765
-8,1.4199890585122092
-6,1.4304926377040166
-4,1.4398900851219392
-2,1.4482224271975797
0,1.4554418491995187
2,1.4618214291820393
4,1.4671074042154002
6,1.4712722749792464
8,1.474884639872506
10,1.4775391596140743
12,1.479102965734895
14,1.4793063293545883
16,1.4787030401426213
18,1.4775013689221628
20,1.4755563042409932
22,1.4737339801995077
24,1.471102209259408
