deg,E_kWh
-24,1.8173696201691196
-22,1.8305924033988945
-20,1.8426841737158022
-18,1.8536655274368918
-16,1.8635559919005618
-14,1.881069659432624
-12,1.9011682934830167
-10,1.9196512142725133
-8,1.9365162920400067
-6,1.9517644299376253
-4,1.9653980969429228
-2,1.9774204172795486
0,1.98783489025227
2,1.9960836680547436
4,2.00276926826723
6,2.008277739362833
8,2.0125133422328485
10,2.0154742007739648
12,2.0171577067627044
14,2.0175604410976336
16,2.016978585442022
18,2.016898193836526
20,2.015796337047425
22,2.0136707616293426
24,2.0105187232776123
