time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,ts_utc,ts_local,date_local,year_local,month_local,day_local,hour_local
2024-11-15 22:00,0.0,26.0,2.34,12.28,9125.0,-999.0,2024-11-15 22:00:00+00:00,2024-11-16 00:00:00+02:00,2024-11-16,2024,11,16,0
2024-11-15 23:00,0.0,24.58,2.33,13.12,9125.0,-999.0,2024-11-15 23:00:00+00:00,2024-11-16 01:00:00+02:00,2024-11-16,2024,11,16,1
2024-11-16 00:00,0.0,23.33,2.15,14.35,9124.0,-999.0,2024-11-16 00:00:00+00:00,2024-11-16 02:00:00+02:00,2024-11-16,2024,11,16,2
2024-11-16 01:00,0.0,22.17,1.81,16.98,9124.0,-999.0,2024-11-16 01:00:00+00:00,2024-11-16 03:00:00+02:00,2024-11-16,2024,11,16,3
2024-11-16 02:00,0.0,20.83,1.64,22.53,9126.0,-999.0,2024-11-16 02:00:00+00:00,2024-11-16 04:00:00+02:00,2024-11-16,2024,11,16,4
2024-11-16 03:00,0.0,19.53,1.72,30.02,9129.0,-999.0,2024-11-16 03:00:00+00:00,2024-11-16 05:00:00+02:00,2024-11-16,2024,11,16,5
2024-11-16 04:00,7.1,18.67,1.68,36.97,9133.0,0.31,2024-11-16 04:00:00+00:00,2024-11-16 06:00:00+02:00,2024-11-16,2024,11,16,6
2024-11-16 05:00,151.85,20.25,1.53,36.53,9137.0,0.27,2024-11-16 05:00:00+00:00,2024-11-16 07:00:00+02:00,2024-11-16,2024,11,16,7
2024-11-16 06:00,386.9,23.58,1.66,30.78,9140.0,0.24,2024-11-16 06:00:00+00:00,2024-11-16 08:00:00+02:00,2024-11-16,2024,11,16,8
2024-11-16 07:00,621.58,28.42,2.2,21.61,9140.0,0.22,2024-11-16 07:00:00+00:00,2024-11-16 09:00:00+02:00,2024-11-16,2024,11,16,9
2024-11-16 08:00,829.1,32.6,3.11,15.76,9137.0,0.21,2024-11-16 08:00:00+00:00,2024-11-16 10:00:00+02:00,2024-11-16,2024,11,16,10
2024-11-16 09:00,988.42,35.63,3.78,12.88,9132.0,0.21,2024-11-16 09:00:00+00:00,2024-11-16 11:00:00+02:00,2024-11-16,2024,11,16,11
2024-11-16 10:00,1085.68,37.55,3.9,11.21,9126.0,0.22,2024-11-16 10:00:00+00:00,2024-11-16 12:00:00+02:00,2024-11-16,2024,11,16,12
2024-11-16 11:00,1115.05,38.79,4.26,9.91,9119.0,0.22,2024-11-16 11:00:00+00:00,2024-11-16 13:00:00+02:00,2024-11-16,2024,11,16,13
2024-11-16 12:00,1067.18,39.49,4.9,8.66,9112.0,0.21,2024-11-16 12:00:00+00:00,2024-11-16 14:00:00+02:00,2024-11-16,2024,11,16,14
2024-11-16 13:00,951.55,39.64,5.69,7.4,9107.0,0.21,2024-11-16 13:00:00+00:00,2024-11-16 15:00:00+02:00,2024-11-16,2024,11,16,15
2024-11-16 14:00,768.83,39.22,6.37,6.21,9103.0,0.21,2024-11-16 14:00:00+00:00,2024-11-16 16:00:00+02:00,2024-11-16,2024,11,16,16
2024-11-16 15:00,543.65,38.3,6.64,5.16,9103.0,0.21,2024-11-16 15:00:00+00:00,2024-11-16 17:00:00+02:00,2024-11-16,2024,11,16,17
2024-11-16 16:00,296.02,36.99,6.52,4.54,9105.0,0.22,2024-11-16 16:00:00+00:00,2024-11-16 18:00:00+02:00,2024-11-16,2024,11,16,18
2024-11-16 17:00,69.2,34.57,4.74,4.87,9108.0,0.29,2024-11-16 17:00:00+00:00,2024-11-16 19:00:00+02:00,2024-11-16,2024,11,16,19
2024-11-16 18:00,0.0,28.96,3.59,7.1,9112.0,-999.0,2024-11-16 18:00:00+00:00,2024-11-16 20:00:00+02:00,2024-11-16,2024,11,16,20
2024-11-16 19:00,0.0,27.13,3.82,7.49,9116.0,-999.0,2024-11-16 19:00:00+00:00,2024-11-16 21:00:00+02:00,2024-11-16,2024,11,16,21
2024-11-16 20:00,0.0,25.99,4.26,7.49,9119.0,-999.0,2024-11-16 20:00:00+00:00,2024-11-16 22:00:00+02:00,2024-11-16,2024,11,16,22
2024-11-16 21:00,0.0,25.18,5.49,8.41,9124.0,-999.0,2024-11-16 21:00:00+00:00,2024-11-16 23:00:00+02:00,2024-11-16,2024,11,16,23
