time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,date_local
2024-07-19 22:00,0.0,6.25,3.24,58.35,9208.0,-999.0,2024-07-20
2024-07-19 23:00,0.0,5.66,3.28,59.32,9206.0,-999.0,2024-07-20
2024-07-20 00:00,0.0,5.08,3.3,61.25,9204.0,-999.0,2024-07-20
2024-07-20 01:00,0.0,4.47,3.31,63.9,9202.0,-999.0,2024-07-20
2024-07-20 02:00,0.0,3.87,3.28,66.83,9201.0,-999.0,2024-07-20
2024-07-20 03:00,0.0,3.29,3.24,69.81,9200.0,-999.0,2024-07-20
2024-07-20 04:00,0.0,2.71,3.21,72.96,9204.0,-999.0,2024-07-20
2024-07-20 05:00,0.0,2.17,3.23,75.86,9208.0,-999.0,2024-07-20
2024-07-20 06:00,16.6,2.22,3.14,75.43,9214.0,0.3,2024-07-20
2024-07-20 07:00,183.18,5.74,4.12,58.75,9218.0,0.26,2024-07-20
2024-07-20 08:00,379.65,9.2,3.31,45.63,9222.0,0.24,2024-07-20
2024-07-20 09:00,541.28,12.91,3.25,32.69,9224.0,0.23,2024-07-20
2024-07-20 10:00,650.25,14.7,2.56,26.09,9221.0,0.22,2024-07-20
2024-07-20 11:00,693.95,16.11,2.23,21.24,9215.0,0.21,2024-07-20
2024-07-20 12:00,673.83,17.12,2.21,18.01,9208.0,0.21,2024-07-20
2024-07-20 13:00,589.03,17.59,2.13,16.22,9201.0,0.22,2024-07-20
2024-07-20 14:00,441.33,17.52,2.33,15.56,9198.0,0.22,2024-07-20
2024-07-20 15:00,252.3,16.73,2.57,16.05,9199.0,0.24,2024-07-20
2024-07-20 16:00,55.67,12.59,2.45,23.0,9203.0,0.28,2024-07-20
2024-07-20 17:00,0.0,9.35,3.38,26.79,9210.0,-999.0,2024-07-20
2024-07-20 18:00,0.0,8.18,3.58,29.15,9215.0,-999.0,2024-07-20
2024-07-20 19:00,0.0,7.27,3.81,31.48,9224.0,-999.0,2024-07-20
2024-07-20 20:00,0.0,6.31,3.79,33.8,9228.0,-999.0,2024-07-20
2024-07-20 21:00,0.0,5.25,3.57,36.21,9229.0,-999.0,2024-07-20
