time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,ts_utc,ts_local,date_local,year_local,month_local,day_local,hour_local
2024-05-02 22:00,0.0,15.14,2.22,71.09,9893.0,-999.0,2024-05-02 22:00:00+00:00,2024-05-03 00:00:00+02:00,2024-05-03,2024,5,3,0
2024-05-02 23:00,0.0,15.16,2.43,70.23,9887.0,-999.0,2024-05-02 23:00:00+00:00,2024-05-03 01:00:00+02:00,2024-05-03,2024,5,3,1
2024-05-03 00:00,0.0,15.34,2.47,69.19,9880.0,-999.0,2024-05-03 00:00:00+00:00,2024-05-03 02:00:00+02:00,2024-05-03,2024,5,3,2
2024-05-03 01:00,0.0,15.55,2.46,68.47,9872.0,-999.0,2024-05-03 01:00:00+00:00,2024-05-03 03:00:00+02:00,2024-05-03,2024,5,3,3
2024-05-03 02:00,0.0,15.82,2.39,67.4,9862.0,-999.0,2024-05-03 02:00:00+00:00,2024-05-03 04:00:00+02:00,2024-05-03,2024,5,3,4
2024-05-03 03:00,0.0,16.24,2.15,65.32,9854.0,-999.0,2024-05-03 03:00:00+00:00,2024-05-03 05:00:00+02:00,2024-05-03,2024,5,3,5
2024-05-03 04:00,0.0,16.65,1.89,62.97,9854.0,-999.0,2024-05-03 04:00:00+00:00,2024-05-03 06:00:00+02:00,2024-05-03,2024,5,3,6
2024-05-03 05:00,0.0,16.94,1.59,60.95,9858.0,-999.0,2024-05-03 05:00:00+00:00,2024-05-03 07:00:00+02:00,2024-05-03,2024,5,3,7
2024-05-03 06:00,8.68,17.05,1.45,59.91,9864.0,0.18,2024-05-03 06:00:00+00:00,2024-05-03 08:00:00+02:00,2024-05-03,2024,5,3,8
2024-05-03 07:00,77.72,17.97,1.53,62.36,9869.0,0.16,2024-05-03 07:00:00+00:00,2024-05-03 09:00:00+02:00,2024-05-03,2024,5,3,9
2024-05-03 08:00,185.3,20.33,2.1,50.36,9873.0,0.16,2024-05-03 08:00:00+00:00,2024-05-03 10:00:00+02:00,2024-05-03,2024,5,3,10
2024-05-03 09:00,296.45,22.41,2.94,41.66,9872.0,0.16,2024-05-03 09:00:00+00:00,2024-05-03 11:00:00+02:00,2024-05-03,2024,5,3,11
2024-05-03 10:00,363.92,24.14,3.81,36.1,9868.0,0.15,2024-05-03 10:00:00+00:00,2024-05-03 12:00:00+02:00,2024-05-03,2024,5,3,12
2024-05-03 11:00,408.8,25.39,4.32,32.76,9863.0,0.15,2024-05-03 11:00:00+00:00,2024-05-03 13:00:00+02:00,2024-05-03,2024,5,3,13
2024-05-03 12:00,412.33,25.99,4.78,31.36,9856.0,0.15,2024-05-03 12:00:00+00:00,2024-05-03 14:00:00+02:00,2024-05-03,2024,5,3,14
2024-05-03 13:00,331.73,25.72,5.15,32.28,9854.0,0.16,2024-05-03 13:00:00+00:00,2024-05-03 15:00:00+02:00,2024-05-03,2024,5,3,15
2024-05-03 14:00,270.6,24.76,4.87,35.4,9856.0,0.16,2024-05-03 14:00:00+00:00,2024-05-03 16:00:00+02:00,2024-05-03,2024,5,3,16
2024-05-03 15:00,155.45,23.38,3.81,41.09,9860.0,0.17,2024-05-03 15:00:00+00:00,2024-05-03 17:00:00+02:00,2024-05-03,2024,5,3,17
2024-05-03 16:00,38.42,20.62,2.39,56.92,9864.0,0.17,2024-05-03 16:00:00+00:00,2024-05-03 18:00:00+02:00,2024-05-03,2024,5,3,18
2024-05-03 17:00,0.0,18.03,2.4,68.75,9872.0,-999.0,2024-05-03 17:00:00+00:00,2024-05-03 19:00:00+02:00,2024-05-03,2024,5,3,19
2024-05-03 18:00,0.0,16.94,2.45,75.92,9882.0,-999.0,2024-05-03 18:00:00+00:00,2024-05-03 20:00:00+02:00,2024-05-03,2024,5,3,20
2024-05-03 19:00,0.0,16.09,2.49,82.35,9890.0,-999.0,2024-05-03 19:00:00+00:00,2024-05-03 21:00:00+02:00,2024-05-03,2024,5,3,21
2024-05-03 20:00,0.0,15.49,2.59,87.41,9895.0,-999.0,2024-05-03 20:00:00+00:00,2024-05-03 22:00:00+02:00,2024-05-03,2024,5,3,22
2024-05-03 21:00,0.0,15.04,2.88,90.93,9900.0,-999.0,2024-05-03 21:00:00+00:00,2024-05-03 23:00:00+02:00,2024-05-03,2024,5,3,23
