time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,date_local
2024-03-31 22:00,0.0,15.81,4.73,87.63,9933.0,-999.0,2024-04-01
2024-03-31 23:00,0.0,15.51,4.24,87.28,9934.0,-999.0,2024-04-01
2024-04-01 00:00,0.0,14.77,3.14,90.49,9932.0,-999.0,2024-04-01
2024-04-01 01:00,0.0,14.18,2.78,93.18,9927.0,-999.0,2024-04-01
2024-04-01 02:00,0.0,13.65,2.85,94.9,9925.0,-999.0,2024-04-01
2024-04-01 03:00,0.0,13.3,2.96,95.79,9929.0,-999.0,2024-04-01
2024-04-01 04:00,0.0,13.17,3.02,95.82,9933.0,-999.0,2024-04-01
2024-04-01 05:00,0.0,13.21,3.14,94.87,9936.0,-999.0,2024-04-01
2024-04-01 06:00,60.1,14.37,3.6,88.87,9939.0,0.22,2024-04-01
2024-04-01 07:00,245.6,16.16,4.89,77.18,9944.0,0.18,2024-04-01
2024-04-01 08:00,433.02,17.59,5.87,66.1,9946.0,0.16,2024-04-01
2024-04-01 09:00,592.3,18.72,6.5,59.59,9946.0,0.15,2024-04-01
2024-04-01 10:00,707.85,19.57,6.79,55.46,9945.0,0.15,2024-04-01
2024-04-01 11:00,776.62,20.09,6.8,53.02,9942.0,0.15,2024-04-01
2024-04-01 12:00,789.83,20.26,6.84,52.04,9937.0,0.15,2024-04-01
2024-04-01 13:00,635.88,20.15,6.86,52.3,9932.0,0.15,2024-04-01
2024-04-01 14:00,594.7,19.72,6.86,54.26,9931.0,0.16,2024-04-01
2024-04-01 15:00,410.12,18.93,6.67,58.31,9934.0,0.17,2024-04-01
2024-04-01 16:00,200.35,17.79,6.08,64.59,9937.0,0.2,2024-04-01
2024-04-01 17:00,21.52,16.51,4.95,72.33,9939.0,0.24,2024-04-01
2024-04-01 18:00,0.0,16.06,4.33,77.15,9943.0,-999.0,2024-04-01
2024-04-01 19:00,0.0,15.83,3.86,80.44,9947.0,-999.0,2024-04-01
2024-04-01 20:00,0.0,15.64,3.38,83.41,9951.0,-999.0,2024-04-01
2024-04-01 21:00,0.0,15.51,3.11,85.82,9952.0,-999.0,2024-04-01
